model type,technique,training loses,testing loses,model path,training accuracies,training f1,training true positives,training true negatives,training false positives,training false negatives,testing accuracies,testing f1,testing true positives,testing true negatives,testing false positives,testing false negatives
Random forest,weight decay,"[0.10979228486646884, 0.13056379821958458, 0.09792284866468842, 0.09495548961424333, 0.10385756676557864, 0.09763313609467456, 0.11538461538461539, 0.10059171597633136, 0.10059171597633136, 0.11242603550295859]",0.3925925925925926,Models\RandomForest\20260419_Apr\weight_decay.pkl,"[89.02077151335311, 86.94362017804154, 90.20771513353115, 90.50445103857567, 89.61424332344214, 90.23668639053254, 88.46153846153845, 89.94082840236686, 89.94082840236686, 88.75739644970415]","[0.8485499462943072, 0.8394160583941607, 0.8757396449704143, 0.8635394456289979, 0.8580183861082739, 0.8720271800679501, 0.8540540540540542, 0.8704883227176221, 0.8586956521739131, 0.8533916849015317]",87.0,249.0,12.0,27.0,60.74074074074074,0.25125628140703515,5.0,77.0,12.0,41.0
Random forest,weight perturbation,"[0.09495548961424333, 0.11572700296735905, 0.10682492581602374, 0.11275964391691394, 0.12166172106824925, 0.11242603550295859, 0.11242603550295859, 0.10946745562130178, 0.10059171597633136, 0.10059171597633136]",0.1259259259259259,Models\RandomForest\20260419_Apr\weight_perturbation.pkl,"[90.50445103857567, 88.4272997032641, 89.31750741839762, 88.72403560830861, 87.83382789317507, 88.75739644970415, 88.75739644970415, 89.05325443786982, 89.94082840236686, 89.94082840236686]","[0.9036144578313253, 0.8577878103837472, 0.9009009009009009, 0.8920187793427231, 0.8470588235294118, 0.8628318584070797, 0.8597285067873303, 0.903225806451613, 0.9070796460176992, 0.8835341365461848]",44.0,291.0,1.0,39.0,87.4074074074074,0.0,0.0,118.0,1.0,16.0
svm,baseline,"[0.17210682492581603, 0.1632047477744807, 0.1513353115727003, 0.16023738872403562, 0.1661721068249258, 0.15088757396449703, 0.16568047337278108, 0.14497041420118342, 0.16863905325443787, 0.14792899408284024]",0.13333333333333333,Models\SVM\20260419_Apr\baseline.pkl,"[82.7893175074184, 83.67952522255193, 84.86646884272997, 83.97626112759644, 83.38278931750742, 84.91124260355029, 83.4319526627219, 85.50295857988166, 83.13609467455622, 85.20710059171599]","[0.0, 0.6896551724137931, 0.7329842931937174, 0.6930693069306932, 0.6701030927835051, 0.6878306878306878, 0.6701030927835051, 0.6779661016949153, 0.6829268292682927, 0.6875]",14.0,302.0,1.0,58.0,86.66666666666667,0.0,0.0,117.0,0.0,18.0
svm,batch normalisation,"[0.14540059347181009, 0.13056379821958458, 0.13353115727002968, 0.12462908011869436, 0.1394658753709199, 0.14201183431952663, 0.14497041420118342, 0.13609467455621302, 0.14201183431952663, 0.14792899408284024]",0.32592592592592595,Models\SVM\20260419_Apr\batch_normalisation.pkl,"[85.45994065281899, 86.94362017804154, 86.64688427299704, 87.53709198813057, 86.05341246290801, 85.79881656804734, 85.50295857988166, 86.3905325443787, 85.79881656804734, 85.20710059171599]","[0.7341772151898734, 0.7674418604651163, 0.7656612529002321, 0.7568807339449543, 0.815850815850816, 0.7627118644067797, 0.7529411764705883, 0.7792207792207793, 0.752212389380531, 0.731132075471698]",37.0,286.0,8.0,44.0,67.4074074074074,0.25641025641025644,4.0,87.0,9.0,35.0
svm,dropout,"[0.07418397626112759, 0.08902077151335312, 0.09495548961424333, 0.08605341246290801, 0.09198813056379822, 0.08875739644970414, 0.09467455621301775, 0.08284023668639054, 0.09171597633136094, 0.08579881656804733]",0.16296296296296298,Models\SVM\20260419_Apr\dropout.pkl,"[92.58160237388724, 91.0979228486647, 90.50445103857567, 91.3946587537092, 90.80118694362018, 91.12426035502959, 90.53254437869822, 91.71597633136095, 90.8284023668639, 91.42011834319527]","[0.7975460122699387, 0.823529411764706, 0.7333333333333335, 0.778443113772455, 0.782122905027933, 0.7432432432432434, 0.7647058823529411, 0.7692307692307693, 0.7547169811320756, 0.778443113772455]",14.0,328.0,1.0,32.0,83.7037037037037,0.0,0.0,113.0,1.0,21.0
svm,layer normalisation,"[0.09495548961424333, 0.10385756676557864, 0.11275964391691394, 0.10089020771513353, 0.11572700296735905, 0.10059171597633136, 0.10650887573964497, 0.10946745562130178, 0.11242603550295859, 0.10355029585798817]",0.28888888888888886,Models\SVM\20260419_Apr\layer_normalisation.pkl,"[90.50445103857567, 89.61424332344214, 88.72403560830861, 89.91097922848664, 88.4272997032641, 89.94082840236686, 89.3491124260355, 89.05325443786982, 88.75739644970415, 89.64497041420118]","[0.853211009174312, 0.8418131359851989, 0.8638211382113822, 0.8673469387755102, 0.8588351431391905, 0.8673469387755102, 0.8560311284046693, 0.8565928777670838, 0.854368932038835, 0.8783068783068784]",97.0,239.0,14.0,25.0,71.11111111111111,0.16574585635359118,3.0,93.0,14.0,25.0
svm,prune,"[0.19881305637982197, 0.18694362017804153, 0.18397626112759644, 0.19584569732937684, 0.18694362017804153, 0.1893491124260355, 0.1834319526627219, 0.1834319526627219, 0.16568047337278108, 0.16272189349112426]",0.45185185185185184,Models\SVM\20260419_Apr\prune.pkl,"[80.1186943620178, 81.30563798219585, 81.60237388724035, 80.41543026706232, 81.30563798219585, 81.06508875739645, 81.65680473372781, 81.65680473372781, 83.4319526627219, 83.72781065088756]","[0.7479674796747968, 0.7992202729044835, 0.7744565217391305, 0.7653061224489797, 0.7528641571194763, 0.7402597402597403, 0.7846715328467154, 0.7443820224719101, 0.8017492711370262, 0.8183306055646482]",50.0,253.0,10.0,62.0,54.81481481481482,0.0,0.0,74.0,2.0,59.0
svm,weight normalisation,"[0.14540059347181009, 0.12462908011869436, 0.14540059347181009, 0.14540059347181009, 0.14836795252225518, 0.13609467455621302, 0.1390532544378698, 0.14201183431952663, 0.14201183431952663, 0.14201183431952663]",0.4148148148148148,Models\SVM\20260419_Apr\weight_normalisation.pkl,"[85.45994065281899, 87.53709198813057, 85.45994065281899, 85.45994065281899, 85.16320474777447, 86.3905325443787, 86.09467455621301, 85.79881656804734, 85.79881656804734, 85.79881656804734]","[0.8273748723186926, 0.8411214953271028, 0.8242303872889772, 0.8267270668176671, 0.8247422680412372, 0.8549783549783551, 0.8292682926829268, 0.8350515463917526, 0.8203125000000001, 0.8148893360160966]",90.0,231.0,17.0,37.0,58.51851851851851,0.2688172043010753,15.0,64.0,44.0,12.0
svm,weight decay,"[0.09792284866468842, 0.10682492581602374, 0.09198813056379822, 0.09198813056379822, 0.10385756676557864, 0.09467455621301775, 0.09171597633136094, 0.10355029585798817, 0.09171597633136094, 0.10059171597633136]",0.37777777777777777,Models\SVM\20260419_Apr\weight_decay.pkl,"[90.20771513353115, 89.31750741839762, 90.80118694362018, 90.80118694362018, 89.61424332344214, 90.53254437869822, 90.8284023668639, 89.64497041420118, 90.8284023668639, 89.94082840236686]","[0.8597748208802457, 0.8366533864541833, 0.8700102354145343, 0.8615049073064341, 0.8622502628811777, 0.8849557522123893, 0.8820403825717322, 0.8776266996291718, 0.852105778648384, 0.8559498956158664]",92.0,246.0,15.0,22.0,62.22222222222222,0.3557312252964427,9.0,75.0,14.0,37.0
svm,weight perturbation,"[0.1543026706231454, 0.16023738872403562, 0.14540059347181009, 0.1543026706231454, 0.1632047477744807, 0.17159763313609466, 0.14792899408284024, 0.16568047337278108, 0.15088757396449703, 0.15384615384615385]",0.1259259259259259,Models\SVM\20260419_Apr\weight_perturbation.pkl,"[84.56973293768546, 83.97626112759644, 85.45994065281899, 84.56973293768546, 83.67952522255193, 82.84023668639054, 85.20710059171599, 83.4319526627219, 84.91124260355029, 84.61538461538461]","[0.7435897435897436, 0.7712765957446808, 0.7807807807807808, 0.7591623036649214, 0.708215297450425, 0.6896551724137931, 0.7670454545454545, 0.7142857142857143, 0.7371007371007372, 0.7594936708860759]",31.0,285.0,7.0,52.0,87.4074074074074,0.3278688524590164,2.0,116.0,3.0,14.0
