dataset_name,file_name,batch_size,learning_rate,number_of_epochs,number_of_hidden_layers,avg_number_of_neurons,min_number_of_neurons,max_number_of_neurons,total_number_of_neurons,depth_to_width_ratio,batch_size_to_dataset_ratio,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,avg_learning_slope,std_learning_slope,avg_validation_gap,std_validation_gap,avg_first_overfit_epoch,std_first_overfit_epoch,avg_first_stay_epoch,std_first_stay_epoch,avg_percentage_weights_near_zero,std_percentage_weights_near_zero,avg_avg_weights,std_avg_weights,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Car evaluation,,64.0,0.0035,260.0,2.0,80.0,64.0,96.0,160.0,0.025,0.037037037037037,6.0,1.0,1728.0,4.0,288.0,0.6666666666666666,432.0,0.0537190082644628,0.0,0.0791735431143658,0.008708082437471,0.1711156780655647,1.0823921474761784,0.7593334022416793,-0.0010637002954116,6.318358448259661e-05,0.0059934700385711,0.0021809664302179,22.6,3.3823069050575527,8.8,2.4,22.21148459383753,1.219411896934357,0.1861392603251112,0.0110702936928878,1,1,1,1,1,1,1,1
Dry Bean,Data\Input\Subsets\Dry Bean\897734242_20260528_183154.csv,64.0,0.0013,100.0,2.0,152.0,96.0,208.0,304.0,0.0131578947368421,0.0103526366871562,16.0,1.0,6182.0,2.0,386.375,0.125,3091.0,0.7433728144388043,0.9375,0.257481456531345,0.0,0.4999720731862003,1.293667821669193,-0.834387694410338,-0.0003256746530532,1.4642688545320437e-05,0.0299515376437394,0.0051121279714395,18.3,9.644169222903546,2.0,0.0,27.86106361918474,0.8098003315706117,0.1281022627042397,0.0023520154169384,1,1,1,1,1,1,1,1
Dry Bean,Data\Input\Subsets\Dry Bean\167171150_20260528_183155.csv,64.0,0.0013,100.0,2.0,152.0,96.0,208.0,304.0,0.0131578947368421,0.0084678486372056,16.0,1.0,7558.0,4.0,472.375,0.25,1889.5,0.1472081218274111,0.8125,0.7377215457503664,0.1047070331909649,1.067764621983757,2.091165457556245,-0.8970202030097834,-0.000117680311203,1.2946062530212498e-05,0.0055721558618065,0.0012044910594746,13.9,5.821511831131154,2.0,0.0,27.81796502384737,0.5037910171683193,0.1218936808213836,0.0028542934789022,1,1,1,1,1,1,1,1
Dry Bean,Data\Input\Subsets\Dry Bean\3787265179_20260528_183155.csv,64.0,0.0013,100.0,2.0,152.0,96.0,208.0,304.0,0.0131578947368421,0.0093580932884924,16.0,1.0,6839.0,4.0,427.4375,0.25,1709.75,0.6521953626048347,0.6875,0.7038634882893406,0.270809749609568,0.9787701313393032,2.0215478660290915,-0.8779911695143746,-0.0002932841181755,2.8867637433190927e-05,0.0076272785605484,0.0024600218557047,9.0,3.741657386773941,2.1,0.3,25.379791556262145,0.5074574252684408,0.1364248009490379,0.0016656370325546,1,1,1,1,1,1,1,1
Dry Bean,Data\Input\Subsets\Dry Bean\3685977759_20260528_183156.csv,64.0,0.0013,100.0,2.0,152.0,96.0,208.0,304.0,0.0131578947368421,0.0066280033140016,16.0,1.0,9656.0,5.0,603.5,0.3125,1931.2,0.1472081218274111,1.0,0.6453482099959894,0.0302355235761653,1.095747953793416,1.90665082857181,-0.8593221709587007,-0.0003850734233856,3.9039323042730177e-05,0.007705542466601,0.002418634124465,8.1,4.6141087980237305,2.0,0.0,23.74524132499016,0.6040789919879629,0.1475345998658177,0.0019165320492714,1,1,1,1,1,1,1,1
Dry Bean,Data\Input\Subsets\Dry Bean\3013555001_20260528_183157.csv,64.0,0.0013,100.0,2.0,152.0,96.0,208.0,304.0,0.0131578947368421,0.0055574852379298,16.0,1.0,11516.0,6.0,719.75,0.375,1919.3333333333333,0.1472081218274111,1.0,0.7257535486877197,0.1393238402995087,1.0970608863237532,2.066287561738572,-0.8570331538104456,-0.0003793720006942,3.78845262254698e-05,0.019468239001357,0.0025679875321605,7.8,4.214261501141095,2.4,0.4898979485566356,21.838522244384706,0.3168776088665352,0.1606473742253699,0.0019125643171472,1,1,1,1,1,1,1,1
Dry Bean,Data\Input\Subsets\Dry Bean\680191783_20260528_183158.csv,64.0,0.0013,100.0,2.0,152.0,96.0,208.0,304.0,0.0131578947368421,0.0047256885475891,8.0,1.0,13543.0,7.0,1692.875,0.875,1934.7142857142856,0.1472081218274111,1.0,0.8041097742664454,0.2306055083836176,1.055377684179339,2.234706220068708,-0.714932817467415,-0.0004581884145736,3.5073776709153626e-05,0.0139664296997171,0.002725155273879,14.7,7.810889834071404,2.5,0.6708203932499369,20.210194196329383,0.7530026781876588,0.177374603093367,0.004232804477296,1,1,1,1,1,1,1,1
Dry Bean,Data\Input\Subsets\Dry Bean\2776538981_20260528_183159.csv,64.0,0.0013,100.0,2.0,152.0,96.0,208.0,304.0,0.0131578947368421,0.0047256885475891,15.0,1.0,13543.0,7.0,902.8666666666668,0.4666666666666667,1934.7142857142856,0.1472081218274111,1.0,0.8018564303452944,0.1972740855601413,1.0551070068661277,2.2296763275593108,-0.8475369244852042,-0.0003854577541351,2.893908785716308e-05,0.0144393071009402,0.0023007125938864,10.3,5.831809324729333,2.6,0.916515138991168,19.740237324703347,0.5128196362861326,0.1754626711749722,0.0026008883105357,1,1,1,1,1,1,1,1
Dry Bean,Data\Input\Subsets\Dry Bean\2712631053_20260528_183200.csv,64.0,0.0013,100.0,2.0,152.0,96.0,208.0,304.0,0.0131578947368421,0.0047256885475891,14.0,1.0,13543.0,7.0,967.3571428571428,0.5,1934.7142857142856,0.1472081218274111,1.0,0.7755834056485547,0.1972456705535092,1.0371274345899275,2.1718588323566976,-0.8311130831116614,-0.0003947508335113,3.179064538757422e-05,0.0165080362895434,0.0027694463291824,9.5,4.904079934095692,2.4,0.4898979485566356,19.873911347978684,0.4438171518272569,0.175001733924917,0.003025980235845,1,1,1,2,2,1,2,2
Dry Bean,Data\Input\Subsets\Dry Bean\751609287_20260528_183200.csv,64.0,0.0013,100.0,2.0,152.0,96.0,208.0,304.0,0.0131578947368421,0.0047256885475891,8.0,1.0,13543.0,7.0,1692.875,0.875,1934.7142857142856,0.1472081218274111,1.0,0.8508971138550301,0.2306055083836176,1.055377684179339,2.3417467233037508,-0.7306074917112689,-0.000308274269104,4.576516160122696e-05,0.0140711865407882,0.0027915498250011,15.9,10.87612063191651,2.0,0.0,19.94267431009199,0.6365080696209977,0.1783932903040961,0.0042957368631579,1,1,1,1,1,1,1,1
