model type,technique,training loses,testing loses,model path,best fold,training f1,training accuracies,training precision,training true positives,training true negatives,training false positives,training false negatives,best training loses,best training accuracies,best training f1,best training precision,best training true positives,best training true negatives,best training false positives,best training false negatives,testing f1,testing accuracies,testing precision,testing true positives,testing true negatives,testing false positives,testing false negatives,best testing loses,best testing accuracies,best testing f1,best testing precision,best testing true positives,best testing true negatives,best testing false positives,best testing false negatives
KNN,prune,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.53125, 0.5104166666666667, 0.5416666666666667, 0.4965277777777778, 0.53125, 0.53125, 0.5416666666666667, 0.5208333333333333, 0.53125, 0.53125]",Models\KNN\20260816_16\prune.pkl,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[227, 233, 231, 229, 230, 233, 232, 234, 234, 230]","[161, 155, 158, 160, 159, 156, 157, 155, 155, 159]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,100.0,1.0,1.0,227.0,161.0,0.0,0.0,"[0.5098039215686274, 0.5443037974683544, 0.5064935064935064, 0.5384615384615384, 0.5256410256410257, 0.5157232704402516, 0.5095541401273885, 0.535031847133758, 0.49333333333333335, 0.4900662251655629]","[43.05555555555556, 45.83333333333333, 42.36111111111111, 45.83333333333333, 43.75, 43.05555555555556, 42.36111111111111, 43.75, 43.05555555555556, 43.75]","[0.6610169491525424, 0.671875, 0.65, 0.6774193548387096, 0.6612903225806451, 0.6307692307692307, 0.6349206349206349, 0.6666666666666666, 0.6607142857142857, 0.6491228070175439]","[39, 43, 39, 42, 41, 41, 40, 42, 37, 37]","[30, 29, 29, 30, 29, 26, 27, 29, 31, 30]","[20, 21, 21, 20, 21, 24, 23, 21, 19, 20]","[55, 51, 55, 52, 53, 53, 54, 52, 57, 57]",0.53125,43.05555555555556,0.5098039215686274,0.6610169491525424,39.0,30.0,20.0,55.0
KNN,weight normalisation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.3194444444444444, 0.3402777777777778, 0.3611111111111111, 0.3541666666666667, 0.3541666666666667, 0.3333333333333333, 0.3402777777777778, 0.3472222222222222, 0.3472222222222222, 0.3611111111111111]",Models\KNN\20260816_16\weight_normalisation.pkl,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[228, 225, 238, 233, 238, 235, 232, 232, 234, 227]","[160, 163, 151, 156, 151, 154, 157, 157, 155, 162]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,100.0,1.0,1.0,228.0,160.0,0.0,0.0,"[0.77, 0.751269035532995, 0.7570093457943925, 0.7536231884057971, 0.7559808612440191, 0.7525773195876289, 0.7632850241545893, 0.7641509433962265, 0.7572815533980582, 0.7475728155339806]","[68.05555555555556, 65.97222222222221, 63.888888888888886, 64.58333333333334, 64.58333333333334, 66.66666666666666, 65.97222222222221, 65.27777777777779, 65.27777777777779, 63.888888888888886]","[0.7403846153846154, 0.7326732673267327, 0.6864406779661016, 0.7027027027027027, 0.6991150442477876, 0.7448979591836735, 0.7117117117117117, 0.6982758620689655, 0.7090909090909091, 0.7]","[77, 74, 81, 78, 79, 73, 79, 81, 78, 77]","[21, 21, 11, 15, 14, 23, 16, 13, 16, 15]","[27, 27, 37, 33, 34, 25, 32, 35, 32, 33]","[19, 22, 15, 18, 17, 23, 17, 15, 18, 19]",0.3194444444444444,68.05555555555556,0.77,0.7403846153846154,77.0,21.0,27.0,19.0
KNN,weight decay,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5625, 0.5833333333333334, 0.5138888888888888, 0.5486111111111112, 0.5347222222222222, 0.5763888888888888, 0.5763888888888888, 0.5347222222222222, 0.5833333333333334, 0.5763888888888888]",Models\KNN\20260816_16\weight_decay.pkl,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[254, 258, 261, 255, 262, 258, 257, 263, 260, 255]","[134, 130, 128, 134, 127, 131, 132, 126, 129, 134]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,100.0,1.0,1.0,254.0,134.0,0.0,0.0,"[0.5371428571428571, 0.5172413793103449, 0.6063829787234043, 0.5586592178770949, 0.574585635359116, 0.5257142857142857, 0.5257142857142857, 0.5698324022346368, 0.5172413793103449, 0.5202312138728323]","[43.75, 41.66666666666667, 48.61111111111111, 45.13888888888889, 46.52777777777778, 42.36111111111111, 42.36111111111111, 46.52777777777778, 41.66666666666667, 42.36111111111111]","[0.573170731707317, 0.5555555555555556, 0.6, 0.5813953488372093, 0.5909090909090909, 0.5609756097560976, 0.5609756097560976, 0.5930232558139535, 0.5555555555555556, 0.5625]","[47, 45, 57, 50, 52, 46, 46, 51, 45, 45]","[16, 15, 13, 15, 15, 15, 15, 16, 15, 16]","[35, 36, 38, 36, 36, 36, 36, 35, 36, 35]","[46, 48, 36, 43, 41, 47, 47, 42, 48, 48]",0.5625,43.75,0.5371428571428571,0.573170731707317,47.0,16.0,35.0,46.0
KNN,weight perturbation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.4305555555555556, 0.4305555555555556, 0.4027777777777778, 0.4027777777777778, 0.4236111111111111, 0.4097222222222222, 0.4305555555555556, 0.4027777777777778, 0.3958333333333333, 0.4097222222222222]",Models\KNN\20260816_16\weight_perturbation.pkl,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[177, 167, 180, 168, 177, 174, 178, 171, 173, 172]","[211, 221, 209, 221, 212, 215, 211, 218, 216, 217]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,100.0,1.0,1.0,177.0,211.0,0.0,0.0,"[0.5974025974025974, 0.5507246376811594, 0.6329113924050633, 0.6133333333333333, 0.6064516129032258, 0.6242038216560509, 0.6172839506172839, 0.6027397260273972, 0.6122448979591837, 0.6335403726708074]","[56.94444444444444, 56.94444444444444, 59.72222222222222, 59.72222222222222, 57.638888888888886, 59.02777777777778, 56.94444444444444, 59.72222222222222, 60.416666666666664, 59.02777777777778]","[0.5227272727272727, 0.5277777777777778, 0.5434782608695652, 0.5476190476190477, 0.5280898876404494, 0.5384615384615384, 0.5208333333333334, 0.55, 0.5555555555555556, 0.5368421052631579]","[46, 38, 50, 46, 47, 49, 50, 44, 45, 51]","[36, 44, 36, 40, 36, 36, 32, 42, 42, 34]","[42, 34, 42, 38, 42, 42, 46, 36, 36, 44]","[20, 28, 16, 20, 19, 17, 16, 22, 21, 15]",0.4305555555555556,56.94444444444444,0.5974025974025974,0.5227272727272727,46.0,36.0,42.0,20.0
Neural Network,baseline,"[0.11597938144329897, 0.12628865979381443, 0.11311053984575835, 0.12082262210796915, 0.16452442159383032, 0.08997429305912596, 0.12082262210796915, 0.13881748071979436, 0.14138817480719795, 0.11311053984575835]","[0.4513888888888889, 0.4236111111111111, 0.4444444444444444, 0.3958333333333333, 0.4236111111111111, 0.5625, 0.4375, 0.4513888888888889, 0.4861111111111111, 0.4652777777777778]",Models\NN\20260816_16\baseline.pkl,5.0,"[0.8623853211009175, 0.8571428571428571, 0.872093023255814, 0.8544891640866873, 0.8012422360248447, 0.8979591836734694, 0.8621700879765396, 0.8373493975903614, 0.8387096774193549, 0.8658536585365854]","[88.4020618556701, 87.37113402061856, 88.68894601542416, 87.91773778920309, 83.54755784061697, 91.00257069408741, 87.91773778920309, 86.11825192802056, 85.8611825192802, 88.68894601542416]","[0.8545454545454545, 0.84, 0.847457627118644, 0.8846153846153846, 0.832258064516129, 0.9058823529411765, 0.8497109826589595, 0.8373493975903614, 0.8265895953757225, 0.8875]","[141, 147, 150, 138, 129, 154, 147, 139, 143, 142]","[202, 192, 195, 204, 196, 200, 195, 196, 191, 203]","[24, 28, 27, 18, 26, 16, 26, 27, 30, 18]","[21, 21, 17, 29, 38, 19, 21, 27, 25, 26]",0.08997429305912596,91.00257069408741,0.8979591836734694,0.9058823529411765,154.0,200.0,16.0,19.0,"[0.4036697247706422, 0.47863247863247865, 0.4576271186440678, 0.5128205128205128, 0.49586776859504134, 0.352, 0.4, 0.4036697247706422, 0.38596491228070173, 0.4369747899159664]","[54.861111111111114, 57.638888888888886, 55.55555555555556, 60.416666666666664, 57.638888888888886, 43.75, 56.25, 54.861111111111114, 51.388888888888886, 53.47222222222222]","[0.5365853658536586, 0.5714285714285714, 0.54, 0.6122448979591837, 0.5660377358490566, 0.38596491228070173, 0.5675675675675675, 0.5365853658536586, 0.4782608695652174, 0.5098039215686274]","[22, 28, 27, 30, 30, 22, 21, 22, 22, 26]","[57, 55, 53, 57, 53, 41, 60, 57, 52, 51]","[19, 21, 23, 19, 23, 35, 16, 19, 24, 25]","[46, 40, 41, 38, 38, 46, 47, 46, 46, 42]",0.5625,43.75,0.352,0.38596491228070173,22.0,41.0,35.0,46.0
Neural Network,batch normalisation,"[0.06443298969072164, 0.11855670103092783, 0.09511568123393316, 0.09254498714652956, 0.07969151670951156, 0.10282776349614396, 0.10025706940874037, 0.08740359897172237, 0.07712082262210797, 0.10539845758354756]","[0.3680555555555556, 0.3888888888888889, 0.3680555555555556, 0.4375, 0.3888888888888889, 0.3888888888888889, 0.4513888888888889, 0.3888888888888889, 0.4791666666666667, 0.3611111111111111]",Models\NN\20260816_16\batch_normalisation.pkl,0.0,"[0.9049429657794676, 0.8257575757575758, 0.8673835125448028, 0.8676470588235294, 0.8904593639575972, 0.8540145985401459, 0.8753993610223643, 0.8702290076335878, 0.8943661971830986, 0.8530465949820788]","[93.55670103092784, 88.14432989690721, 90.48843187660668, 90.74550128534705, 92.03084832904884, 89.7172236503856, 89.97429305912597, 91.25964010282776, 92.2879177377892, 89.46015424164524]","[0.952, 0.8861788617886179, 0.8962962962962963, 0.9007633587786259, 0.9, 0.9, 0.8353658536585366, 0.9047619047619048, 0.900709219858156, 0.875]","[119, 109, 121, 118, 126, 117, 137, 114, 127, 119]","[244, 233, 231, 235, 232, 232, 213, 241, 232, 229]","[6, 14, 14, 13, 14, 13, 27, 12, 14, 17]","[19, 32, 23, 23, 17, 27, 12, 22, 16, 24]",0.06443298969072164,93.55670103092784,0.9049429657794676,0.952,119.0,244.0,6.0,19.0,"[0.43010752688172044, 0.2631578947368421, 0.4421052631578947, 0.18181818181818182, 0.24324324324324326, 0.17647058823529413, 0.21686746987951808, 0.2222222222222222, 0.18823529411764706, 0.4222222222222222]","[63.19444444444444, 61.111111111111114, 63.19444444444444, 56.25, 61.111111111111114, 61.111111111111114, 54.861111111111114, 61.111111111111114, 52.083333333333336, 63.888888888888886]","[0.5405405405405406, 0.5, 0.5384615384615384, 0.3333333333333333, 0.5, 0.5, 0.3333333333333333, 0.5, 0.27586206896551724, 0.5588235294117647]","[20, 10, 21, 7, 9, 6, 9, 8, 8, 19]","[71, 78, 70, 74, 79, 82, 70, 80, 67, 73]","[17, 10, 18, 14, 9, 6, 18, 8, 21, 15]","[36, 46, 35, 49, 47, 50, 47, 48, 48, 37]",0.3680555555555556,63.19444444444444,0.43010752688172044,0.5405405405405406,20.0,71.0,17.0,36.0
Neural Network,dropout,"[0.2551546391752577, 0.24484536082474226, 0.18251928020565553, 0.14138817480719795, 0.609254498714653, 0.13624678663239073, 0.14395886889460155, 0.17994858611825193, 0.12853470437017994, 0.16452442159383032]","[0.5555555555555556, 0.3472222222222222, 0.3819444444444444, 0.5138888888888888, 0.7638888888888888, 0.4305555555555556, 0.5277777777777778, 0.5833333333333334, 0.5486111111111112, 0.4930555555555556]",Models\NN\20260816_16\dropout.pkl,5.0,"[0.6754098360655738, 0.6441947565543071, 0.7687296416938111, 0.8184818481848185, 0.5619223659889094, 0.8273615635179153, 0.8238993710691824, 0.7635135135135135, 0.8201438848920863, 0.785234899328859]","[74.48453608247422, 75.51546391752578, 81.74807197943444, 85.8611825192802, 39.0745501285347, 86.37532133676092, 85.60411311053984, 82.0051413881748, 87.146529562982, 83.54755784061697]","[0.6688311688311688, 0.7678571428571429, 0.7763157894736842, 0.8157894736842105, 0.390745501285347, 0.8355263157894737, 0.7891566265060241, 0.7902097902097902, 0.890625, 0.7748344370860927]","[103, 86, 118, 124, 152, 127, 131, 113, 114, 117]","[186, 207, 200, 210, 0, 209, 202, 206, 225, 208]","[51, 26, 34, 28, 237, 25, 35, 30, 14, 34]","[48, 69, 37, 27, 0, 28, 21, 40, 36, 30]",0.13624678663239073,86.37532133676092,0.8273615635179153,0.8355263157894737,127.0,209.0,25.0,28.0,"[0.42028985507246375, 0.13793103448275862, 0.40860215053763443, 0.28846153846153844, 0.38202247191011235, 0.3673469387755102, 0.3333333333333333, 0.20754716981132076, 0.2616822429906542, 0.3106796116504854]","[44.44444444444444, 65.27777777777779, 61.80555555555556, 48.61111111111111, 23.61111111111111, 56.94444444444444, 47.22222222222222, 41.66666666666667, 45.13888888888889, 50.69444444444444]","[0.2815533980582524, 0.17391304347826086, 0.3275862068965517, 0.21739130434782608, 0.23776223776223776, 0.2857142857142857, 0.24050632911392406, 0.15492957746478872, 0.19444444444444445, 0.23529411764705882]","[29, 4, 19, 15, 34, 18, 19, 11, 14, 16]","[35, 90, 70, 55, 0, 64, 49, 49, 51, 57]","[74, 19, 39, 54, 109, 45, 60, 60, 58, 52]","[6, 31, 16, 20, 1, 17, 16, 24, 21, 19]",0.4305555555555556,56.94444444444444,0.3673469387755102,0.2857142857142857,18.0,64.0,45.0,17.0
Neural Network,layer normalisation,"[0.13144329896907217, 0.10824742268041238, 0.10025706940874037, 0.11053984575835475, 0.08226221079691516, 0.08997429305912596, 0.13367609254498714, 0.19794344473007713, 0.11568123393316196, 0.10282776349614396]","[0.4305555555555556, 0.3541666666666667, 0.3541666666666667, 0.4027777777777778, 0.3888888888888889, 0.2638888888888889, 0.4097222222222222, 0.3055555555555556, 0.4375, 0.3611111111111111]",Models\NN\20260816_16\layer_normalisation.pkl,4.0,"[0.8495575221238938, 0.8864864864864865, 0.8931506849315068, 0.873900293255132, 0.9135135135135135, 0.9086161879895561, 0.8645833333333334, 0.8213457076566125, 0.8732394366197183, 0.8941798941798942]","[86.85567010309279, 89.17525773195877, 89.97429305912597, 88.94601542416453, 91.77377892030847, 91.00257069408741, 86.63239074550128, 80.20565552699229, 88.4318766066838, 89.7172236503856]","[0.9473684210526315, 0.9265536723163842, 0.9760479041916168, 0.9867549668874173, 0.9548022598870056, 0.90625, 0.8601036269430051, 0.7375, 0.9451219512195121, 0.9086021505376344]","[144, 164, 163, 149, 169, 174, 166, 177, 155, 169]","[193, 182, 187, 197, 188, 180, 171, 135, 189, 180]","[8, 13, 4, 2, 8, 18, 27, 63, 9, 17]","[43, 29, 35, 41, 24, 17, 25, 14, 36, 23]",0.08226221079691516,91.77377892030847,0.9135135135135135,0.9548022598870056,169.0,188.0,8.0,24.0,"[0.20512820512820512, 0.5853658536585366, 0.33766233766233766, 0.21621621621621623, 0.28205128205128205, 0.5581395348837209, 0.46846846846846846, 0.7027027027027027, 0.24096385542168675, 0.5272727272727272]","[56.94444444444444, 64.58333333333334, 64.58333333333334, 59.72222222222222, 61.111111111111114, 73.61111111111111, 59.02777777777778, 69.44444444444444, 56.25, 63.888888888888886]","[0.42105263157894735, 0.5625, 0.7222222222222222, 0.5333333333333333, 0.5789473684210527, 0.8888888888888888, 0.5, 0.5842696629213483, 0.4166666666666667, 0.5686274509803921]","[8, 36, 13, 8, 11, 24, 26, 52, 10, 29]","[74, 57, 80, 78, 77, 82, 59, 48, 71, 63]","[11, 28, 5, 7, 8, 3, 26, 37, 14, 22]","[51, 23, 46, 51, 48, 35, 33, 7, 49, 30]",0.3888888888888889,61.111111111111114,0.28205128205128205,0.5789473684210527,11.0,77.0,8.0,48.0
Neural Network,prune,"[0.40463917525773196, 0.34536082474226804, 0.4138817480719794, 0.6015424164524421, 0.6041131105398457, 0.5938303341902313, 0.596401028277635, 0.40102827763496146, 0.5809768637532133, 0.4087403598971722]","[0.3472222222222222, 0.4166666666666667, 0.3472222222222222, 0.6527777777777778, 0.6527777777777778, 0.6527777777777778, 0.6527777777777778, 0.3472222222222222, 0.6527777777777778, 0.3472222222222222]",Models\NN\20260816_16\prune.pkl,7.0,"[0.7463651050080775, 0.7184873949579832, 0.7390599675850892, 0.0, 0.0, 0.0, 0.0, 0.7491961414790996, 0.0, 0.7431340872374798]","[59.5360824742268, 65.4639175257732, 58.61182519280206, 39.84575835475578, 39.588688946015424, 40.616966580976865, 40.3598971722365, 59.89717223650386, 41.90231362467866, 59.12596401028277]","[0.595360824742268, 0.7037037037037037, 0.5861182519280206, 0.0, 0.0, 0.0, 0.0, 0.5989717223650386, 0.0, 0.5912596401028277]","[231, 171, 228, 0, 0, 0, 0, 233, 0, 230]","[0, 83, 0, 155, 154, 158, 157, 0, 163, 0]","[157, 72, 161, 0, 0, 0, 0, 156, 0, 159]","[0, 62, 0, 234, 235, 231, 232, 0, 226, 0]",0.40102827763496146,59.89717223650386,0.7491961414790996,0.5989717223650386,233.0,0.0,156.0,0.0,"[0.7899159663865546, 0.6739130434782609, 0.7899159663865546, 0.0, 0.0, 0.0, 0.0, 0.7899159663865546, 0.0, 0.7899159663865546]","[65.27777777777779, 58.333333333333336, 65.27777777777779, 34.72222222222222, 34.72222222222222, 34.72222222222222, 34.72222222222222, 65.27777777777779, 34.72222222222222, 65.27777777777779]","[0.6527777777777778, 0.6888888888888889, 0.6527777777777778, 0.0, 0.0, 0.0, 0.0, 0.6527777777777778, 0.0, 0.6527777777777778]","[94, 62, 94, 0, 0, 0, 0, 94, 0, 94]","[0, 22, 0, 50, 50, 50, 50, 0, 50, 0]","[50, 28, 50, 0, 0, 0, 0, 50, 0, 50]","[0, 32, 0, 94, 94, 94, 94, 0, 94, 0]",0.3472222222222222,65.27777777777779,0.7899159663865546,0.6527777777777778,94.0,0.0,50.0,0.0
Neural Network,weight normalisation,"[0.12371134020618557, 0.15463917525773196, 0.12339331619537275, 0.13367609254498714, 0.12082262210796915, 0.11825192802056556, 0.08740359897172237, 0.14652956298200515, 0.12596401028277635, 0.16966580976863754]","[0.4791666666666667, 0.3541666666666667, 0.375, 0.3819444444444444, 0.3472222222222222, 0.4097222222222222, 0.2847222222222222, 0.3263888888888889, 0.375, 0.2847222222222222]",Models\NN\20260816_16\weight_normalisation.pkl,6.0,"[0.9024390243902439, 0.8804780876494024, 0.902834008097166, 0.8921161825726142, 0.9010526315789473, 0.9012875536480687, 0.9297520661157025, 0.8779443254817987, 0.8993839835728953, 0.8552631578947368]","[87.62886597938144, 84.5360824742268, 87.66066838046272, 86.63239074550128, 87.91773778920309, 88.17480719794345, 91.25964010282776, 85.34704370179949, 87.40359897172236, 83.03341902313625]","[0.8604651162790697, 0.8246268656716418, 0.8446969696969697, 0.86, 0.8699186991869918, 0.8974358974358975, 0.896414342629482, 0.8913043478260869, 0.8488372093023255, 0.8705357142857143]","[222, 221, 223, 215, 214, 210, 225, 205, 219, 195]","[118, 107, 118, 122, 128, 133, 130, 127, 121, 128]","[36, 47, 41, 35, 32, 24, 26, 25, 39, 29]","[12, 13, 7, 17, 15, 22, 8, 32, 10, 37]",0.08740359897172237,91.25964010282776,0.9297520661157025,0.896414342629482,225.0,130.0,26.0,8.0,"[0.6011560693641619, 0.7671232876712328, 0.7476635514018691, 0.7208121827411168, 0.7252747252747253, 0.6666666666666666, 0.7853403141361257, 0.7513227513227513, 0.7, 0.7657142857142857]","[52.083333333333336, 64.58333333333334, 62.5, 61.80555555555556, 65.27777777777779, 59.02777777777778, 71.52777777777779, 67.36111111111111, 62.5, 71.52777777777779]","[0.6753246753246753, 0.6829268292682927, 0.6779661016949152, 0.7029702970297029, 0.7674418604651163, 0.7283950617283951, 0.7894736842105263, 0.7634408602150538, 0.75, 0.8481012658227848]","[52, 84, 80, 71, 66, 59, 75, 71, 63, 67]","[23, 9, 10, 18, 28, 26, 28, 26, 27, 36]","[25, 39, 38, 30, 20, 22, 20, 22, 21, 12]","[44, 12, 16, 25, 30, 37, 21, 25, 33, 29]",0.2847222222222222,71.52777777777779,0.7853403141361257,0.7894736842105263,75.0,28.0,20.0,21.0
Neural Network,weight decay,"[0.3324742268041237, 0.33762886597938147, 0.34190231362467866, 0.34190231362467866, 0.33676092544987146, 0.33676092544987146, 0.3264781491002571, 0.32390745501285345, 0.33676092544987146, 0.2467866323907455]","[0.3541666666666667, 0.3541666666666667, 0.3541666666666667, 0.3541666666666667, 0.3541666666666667, 0.3541666666666667, 0.3541666666666667, 0.3541666666666667, 0.3541666666666667, 0.4652777777777778]",Models\NN\20260816_16\weight_decay.pkl,9.0,"[0.8006182380216383, 0.7968992248062016, 0.7937984496124031, 0.7937984496124031, 0.7975270479134466, 0.7975270479134466, 0.804915514592934, 0.8067484662576687, 0.7975270479134466, 0.84]","[66.75257731958763, 66.23711340206185, 65.80976863753213, 65.80976863753213, 66.32390745501286, 66.32390745501286, 67.3521850899743, 67.60925449871465, 66.32390745501286, 75.32133676092545]","[0.6675257731958762, 0.6623711340206185, 0.6580976863753213, 0.6580976863753213, 0.6632390745501285, 0.6632390745501285, 0.6735218508997429, 0.6760925449871465, 0.6632390745501285, 0.7325581395348837]","[259, 257, 256, 256, 258, 258, 262, 263, 258, 252]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 41]","[129, 131, 133, 133, 131, 131, 127, 126, 131, 92]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 4]",0.2467866323907455,75.32133676092545,0.84,0.7325581395348837,252.0,41.0,92.0,4.0,"[0.7848101265822784, 0.7848101265822784, 0.7848101265822784, 0.7848101265822784, 0.7848101265822784, 0.7848101265822784, 0.7848101265822784, 0.7848101265822784, 0.7848101265822784, 0.6378378378378379]","[64.58333333333334, 64.58333333333334, 64.58333333333334, 64.58333333333334, 64.58333333333334, 64.58333333333334, 64.58333333333334, 64.58333333333334, 64.58333333333334, 53.47222222222222]","[0.6458333333333334, 0.6458333333333334, 0.6458333333333334, 0.6458333333333334, 0.6458333333333334, 0.6458333333333334, 0.6458333333333334, 0.6458333333333334, 0.6458333333333334, 0.6413043478260869]","[93, 93, 93, 93, 93, 93, 93, 93, 93, 59]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 18]","[51, 51, 51, 51, 51, 51, 51, 51, 51, 33]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 34]",0.4652777777777778,53.47222222222222,0.6378378378378379,0.6413043478260869,59.0,18.0,33.0,34.0
Neural Network,weight perturbation,"[0.32989690721649484, 0.28865979381443296, 0.38046272493573263, 0.3110539845758355, 0.45758354755784064, 0.29562982005141386, 0.4138817480719794, 0.22879177377892032, 0.3059125964010283, 0.3444730077120823]","[0.4444444444444444, 0.5138888888888888, 0.4444444444444444, 0.4861111111111111, 0.4583333333333333, 0.5069444444444444, 0.5972222222222222, 0.4722222222222222, 0.4097222222222222, 0.4166666666666667]",Models\NN\20260816_16\weight_perturbation.pkl,7.0,"[0.6559139784946236, 0.6666666666666666, 0.5487804878048781, 0.6572237960339944, 0.0, 0.6349206349206349, 0.5515320334261838, 0.7492957746478873, 0.5703971119133574, 0.6277777777777778]","[67.0103092783505, 71.1340206185567, 61.95372750642674, 68.89460154241645, 54.24164524421594, 70.4370179948586, 58.61182519280206, 77.12082262210797, 69.40874035989717, 65.55269922879178]","[0.6009852216748769, 0.6956521739130435, 0.5844155844155844, 0.6444444444444445, 0.0, 0.7352941176470589, 0.5294117647058824, 0.7228260869565217, 0.7745098039215687, 0.5978835978835979]","[122, 112, 90, 116, 0, 100, 99, 133, 79, 113]","[138, 164, 151, 152, 211, 174, 129, 167, 191, 142]","[81, 49, 64, 64, 0, 36, 88, 51, 23, 76]","[47, 63, 84, 57, 178, 79, 73, 38, 96, 58]",0.22879177377892032,77.12082262210797,0.7492957746478873,0.7228260869565217,133.0,167.0,51.0,38.0,"[0.5897435897435898, 0.4714285714285714, 0.5076923076923077, 0.39655172413793105, 0.0, 0.1797752808988764, 0.4266666666666667, 0.5526315789473685, 0.528, 0.6739130434782609]","[55.55555555555556, 48.61111111111111, 55.55555555555556, 51.388888888888886, 54.166666666666664, 49.30555555555556, 40.27777777777778, 52.77777777777778, 59.02777777777778, 58.333333333333336]","[0.5111111111111111, 0.44594594594594594, 0.515625, 0.46, 0.0, 0.34782608695652173, 0.38095238095238093, 0.4883720930232558, 0.559322033898305, 0.5254237288135594]","[46, 33, 33, 23, 0, 8, 32, 42, 33, 62]","[34, 37, 47, 51, 78, 63, 26, 34, 52, 22]","[44, 41, 31, 27, 0, 15, 52, 44, 26, 56]","[20, 33, 33, 43, 66, 58, 34, 24, 33, 4]",0.4722222222222222,52.77777777777778,0.5526315789473685,0.4883720930232558,42.0,34.0,44.0,24.0
