dataset_name,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,SMOTE_testing_loss,layer_normalisation_testing_loss,batch_normalisation_testing_loss,weight_decay_testing_loss,baseline_testing_loss,dropout_testing_loss,prune_testing_loss,weight_normalisation_testing_loss,weight_perturbation_testing_loss
Agaricus Lepiota,21.0,0.5714285714285714,3587.0,2.0,170.8095238095238,0.0952380952380952,1793.5,0.9305705059203444,0.238095238095238,0.1459794187867348,0.0049427289573821,0.6448700275690574,1.157172371794345,-0.774103718588238,-1,1,2,3,3,4,3,4,3
Agaricus Lepiota,21.0,0.5714285714285714,4133.0,2.0,196.8095238095238,0.0952380952380952,2066.5,0.9304063521718824,0.2857142857142857,0.1432565095826004,0.0021531995051706,0.6279883898663339,1.1540257823751907,-0.7698111112115381,-1,1,2,4,4,4,3,5,3
Agaricus Lepiota,21.0,0.5714285714285714,5448.0,2.0,259.42857142857144,0.0952380952380952,2724.0,0.930545712260808,0.2857142857142857,0.1439555125361024,0.0068706459690272,0.6276106870055941,1.1548327318026483,-0.7709279451210892,-1,1,2,3,5,3,5,4,3
Agaricus Lepiota,21.0,0.5714285714285714,6225.0,2.0,296.42857142857144,0.0952380952380952,3112.5,0.9308312655086848,0.2857142857142857,0.1450128320343162,0.0049603611262907,0.6315630840553617,1.156054404702636,-0.7725963513948494,-1,1,2,3,4,4,3,4,3
Agaricus Lepiota,21.0,0.5714285714285714,7311.0,2.0,348.1428571428572,0.0952380952380952,3655.5,0.9305518880380248,0.2857142857142857,0.143470763454903,0.0047972959051083,0.626344671167488,1.1542730633573095,-0.7701539327357069,-1,1,2,5,2,3,4,5,4
Ann thyroid,15.0,1.0,7129.0,3.0,475.26666666666665,0.2,2376.333333333333,0.0251705837755875,0.9333333333333332,0.0373727179520655,0.0,0.2371866785190779,1.0380798597421803,-0.4424240096734118,-1,5,3,3,4,4,1,2,4
Ann thyroid,16.0,1.0,7129.0,3.0,445.5625,0.1875,2376.333333333333,0.0251705837755875,0.9375,0.0345784390044225,0.0,0.2348058895461078,1.0351832239331036,-0.4350309717028244,-1,5,4,2,3,2,1,3,2
Ann thyroid,17.0,1.0,7129.0,3.0,419.3529411764706,0.1764705882352941,2376.333333333333,0.0251705837755875,0.9411764705882352,0.0268885384690835,0.0,0.2357733874353009,1.0272532971569828,-0.3161924545543849,-1,5,3,2,2,4,1,4,3
Ann thyroid,17.0,1.0,7129.0,3.0,419.3529411764706,0.1764705882352941,2376.333333333333,0.0251705837755875,0.9411764705882352,0.0217985048776764,0.0,0.2357733874353009,1.0220378280843423,-0.1565207983601904,-1,4,4,1,1,3,2,1,2
Ann thyroid,16.0,1.0,7129.0,3.0,445.5625,0.1875,2376.333333333333,0.0251705837755875,0.9375,0.0282564361799256,0.0,0.2373497592956193,1.028659436098481,-0.3086266449184911,-1,6,5,1,4,5,1,3,2
Ann thyroid,13.0,1.0,7129.0,3.0,548.3846153846154,0.2307692307692307,2376.333333333333,0.0251705837755875,0.9230769230769232,0.0169156369773925,0.0,0.1060055582025767,1.017059516490889,0.4214065035597819,-1,3,1,1,4,2,5,2,5
Ann thyroid,12.0,1.0,7129.0,3.0,594.0833333333334,0.25,2376.333333333333,0.0251705837755875,1.0,0.0444060294795942,0.0,0.2357689333103677,1.045406734679707,-0.4134205853482439,-1,3,5,1,2,3,1,1,4
Ann thyroid,21.0,1.0,422.0,3.0,20.09523809523809,0.1428571428571428,140.66666666666666,0.0256410256410256,0.8571428571428571,0.0269460278719964,0.0,0.2353459652246923,1.0273123550332612,-0.4423424294579802,-1,2,3,2,2,4,1,1,3
Ann thyroid,21.0,1.0,1449.0,3.0,69.0,0.1428571428571428,483.0,0.0253731343283582,0.8571428571428571,0.0273481901563845,0.0,0.235951873537177,1.027725584403806,-0.4538955947148188,-1,5,2,2,1,3,2,2,4
Ann thyroid,21.0,1.0,2335.0,3.0,111.1904761904762,0.1428571428571428,778.3333333333334,0.025,0.8571428571428571,0.0265731606436461,0.0,0.2384453755731475,1.026929375327518,-0.4398871661559713,-1,3,2,1,1,1,1,1,2
Ann thyroid,21.0,1.0,3388.0,3.0,161.33333333333334,0.1428571428571428,1129.3333333333333,0.0252074026802807,0.8571428571428571,0.0267337414412951,0.0,0.2357676071336898,1.027094293706745,-0.4428553182390935,-1,6,5,3,4,3,1,2,4
Ann thyroid,21.0,1.0,3745.0,3.0,178.33333333333334,0.1428571428571428,1248.3333333333333,0.0251082251082251,0.8571428571428571,0.0263208900131988,0.0,0.2346556448958434,1.026670343880966,-0.4353070833246273,-1,3,3,3,2,3,1,2,2
Ann thyroid,21.0,1.0,4718.0,3.0,224.66666666666663,0.1428571428571428,1572.6666666666667,0.0252004581901489,0.9047619047619048,0.0272396012645338,0.0,0.2358951194157714,1.027613990880487,-0.4539658003166125,-1,6,4,3,5,5,1,2,4
Ann thyroid,21.0,1.0,6213.0,3.0,295.85714285714283,0.1428571428571428,2071.0,0.0252305550722115,0.9047619047619048,0.0266185467742278,0.0,0.2364734637249238,1.026975984735947,-0.440241847367544,-1,7,5,4,3,4,1,2,6
