model type,technique,training loses,testing loses,model path,training accuracies,training f1,training true positives,training true negatives,training false positives,training false negatives,testing accuracies,testing f1,testing true positives,testing true negatives,testing false positives,testing false negatives
KNN,dropout,"[0.22839506172839505, 0.19753086419753085, 0.20987654320987653, 0.1388888888888889, 0.26851851851851855, 0.23765432098765432, 0.19444444444444445, 0.24074074074074073, 0.25, 0.19135802469135801]",0.37037037037037035,Models\KNN\20260505_May\dropout.pkl,"[77.1604938271605, 80.24691358024691, 79.01234567901234, 86.11111111111111, 73.14814814814815, 76.23456790123457, 80.55555555555556, 75.92592592592592, 75.0, 80.8641975308642]","[0.1956521739130435, 0.30434782608695654, 0.15, 0.3283582089552239, 0.18691588785046728, 0.29357798165137616, 0.3225806451612903, 0.2909090909090909, 0.24299065420560748, 0.3111111111111111]",16.0,259.0,59.0,26.0,62.96296296296296,0.10714285714285714,3.0,82.0,42.0,8.0
KNN,layer normalisation,"[0.12345679012345678, 0.12962962962962962, 0.1388888888888889, 0.12345679012345678, 0.12654320987654322, 0.13580246913580246, 0.16358024691358025, 0.1388888888888889, 0.13580246913580246, 0.13271604938271606]",0.4444444444444444,Models\KNN\20260505_May\layer_normalisation.pkl,"[87.65432098765432, 87.03703703703704, 86.11111111111111, 87.65432098765432, 87.34567901234568, 86.41975308641975, 83.64197530864197, 86.11111111111111, 86.41975308641975, 86.72839506172839]","[0.7333333333333333, 0.6911764705882353, 0.6564885496183206, 0.696969696969697, 0.7132867132867133, 0.7105263157894737, 0.6490066225165563, 0.7019867549668874, 0.6944444444444444, 0.6814814814814815]",64.0,245.0,26.0,25.0,55.55555555555556,0.03225806451612903,1.0,74.0,14.0,46.0
KNN,prune,"[0.2716049382716049, 0.24074074074074073, 0.22530864197530864, 0.21296296296296297, 0.21296296296296297, 0.24074074074074073, 0.20679012345679013, 0.2345679012345679, 0.25, 0.22839506172839505]",0.35555555555555557,Models\KNN\20260505_May\prune.pkl,"[72.8395061728395, 75.92592592592592, 77.46913580246914, 78.70370370370371, 78.70370370370371, 75.92592592592592, 79.32098765432099, 76.5432098765432, 75.0, 77.1604938271605]","[0.5555555555555556, 0.6213592233009708, 0.546583850931677, 0.6187845303867403, 0.6461538461538462, 0.5894736842105263, 0.5562913907284768, 0.6274509803921569, 0.5621621621621622, 0.6407766990291263]",50.0,227.0,25.0,58.0,64.44444444444444,0.0,0.0,87.0,0.0,48.0
KNN,weight normalisation,"[0.2222222222222222, 0.2191358024691358, 0.2222222222222222, 0.21604938271604937, 0.2345679012345679, 0.24691358024691357, 0.2222222222222222, 0.25617283950617287, 0.2222222222222222, 0.2222222222222222]",0.25925925925925924,Models\KNN\20260505_May\weight_normalisation.pkl,"[77.77777777777779, 78.08641975308642, 77.77777777777779, 78.39506172839506, 76.5432098765432, 75.30864197530865, 77.77777777777779, 74.38271604938271, 77.77777777777779, 77.77777777777779]","[0.5, 0.5234899328859061, 0.5, 0.5679012345679012, 0.4864864864864865, 0.5454545454545454, 0.5135135135135135, 0.49696969696969695, 0.5555555555555556, 0.5135135135135135]",43.0,238.0,17.0,62.0,74.07407407407408,0.0,0.0,100.0,0.0,35.0
KNN,weight decay,"[0.20987654320987653, 0.2345679012345679, 0.22839506172839505, 0.21604938271604937, 0.21604938271604937, 0.25, 0.22530864197530864, 0.24382716049382716, 0.2006172839506173, 0.2345679012345679]",0.6,Models\KNN\20260505_May\weight_decay.pkl,"[79.01234567901234, 76.5432098765432, 77.1604938271605, 78.39506172839506, 78.39506172839506, 75.0, 77.46913580246914, 75.61728395061729, 79.93827160493827, 76.5432098765432]","[0.575, 0.6448598130841121, 0.5432098765432098, 0.5930232558139535, 0.6022727272727273, 0.4413793103448276, 0.6096256684491979, 0.6030150753768844, 0.6198830409356725, 0.6346153846153846]",70.0,208.0,35.0,47.0,40.0,0.39097744360902253,26.0,28.0,64.0,17.0
KNN,weight perturbation,"[0.24382716049382716, 0.19753086419753085, 0.25308641975308643, 0.22530864197530864, 0.2006172839506173, 0.24691358024691357, 0.23148148148148148, 0.24691358024691357, 0.25, 0.2345679012345679]",0.3925925925925926,Models\KNN\20260505_May\weight_perturbation.pkl,"[75.61728395061729, 80.24691358024691, 74.69135802469135, 77.46913580246914, 79.93827160493827, 75.30864197530865, 76.85185185185185, 75.30864197530865, 75.0, 76.5432098765432]","[0.3008849557522124, 0.21951219512195122, 0.4057971014492754, 0.23157894736842105, 0.36893203883495146, 0.2857142857142857, 0.21052631578947367, 0.375, 0.31932773109243695, 0.2830188679245283]",15.0,270.0,30.0,45.0,60.74074074074074,0.2535211267605634,9.0,73.0,36.0,17.0
Neural Network,baseline,"[0.13194444444444445, 0.14583333333333334, 0.16666666666666666, 0.1284722222222222, 0.14930555555555555]",0.17777777777777778,Models\NN\20260505_16\baseline.pt,"[86.80555555555556, 85.41666666666666, 83.33333333333334, 87.15277777777779, 85.06944444444444]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,308.0,0.0,52.0,82.22222222222221,0.0,0.0,111.0,0.0,24.0
Neural Network,batch normalisation,"[0.1840277777777778, 0.2013888888888889, 0.17708333333333334, 0.1909722222222222, 0.18055555555555555]",0.2,Models\NN\20260505_16\batch_normalisation.pt,"[81.59722222222221, 79.86111111111111, 82.29166666666666, 80.90277777777779, 81.94444444444444]","[0.5391304347826087, 0.5797101449275363, 0.6530612244897959, 0.42105263157894735, 0.6388888888888888]",35.0,256.0,10.0,59.0,80.0,0.0,0.0,108.0,15.0,12.0
Neural Network,dropout,"[0.9097222222222222, 0.875, 0.8645833333333334, 0.8819444444444444, 0.8854166666666666]",0.08148148148148149,Models\NN\20260505_16\dropout.pt,"[9.027777777777777, 12.5, 13.541666666666666, 11.805555555555555, 11.458333333333332]","[0.16560509554140126, 0.2222222222222222, 0.23853211009174313, 0.2111801242236025, 0.205607476635514]",0.0,318.0,0.0,42.0,91.85185185185185,0.0,0.0,124.0,0.0,11.0
Neural Network,layer normalisation,"[0.13541666666666666, 0.14583333333333334, 0.125, 0.1527777777777778, 0.16666666666666666]",0.4444444444444444,Models\NN\20260505_16\layer_normalisation.pt,"[86.45833333333334, 85.41666666666666, 87.5, 84.72222222222221, 83.33333333333334]","[0.7153284671532847, 0.6666666666666666, 0.7352941176470589, 0.6507936507936508, 0.5294117647058824]",58.0,254.0,17.0,31.0,55.55555555555556,0.03225806451612903,1.0,74.0,14.0,46.0
