dataset_name,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,batch_size,learning_rate,number_of_epochs,number_of_hidden_layers,avg_number_of_neurons,min_number_of_neurons,max_number_of_neurons,total_number_of_neurons,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Agaricus Lepiota,1.5365912711252383,-1.2787692683639704,0.6178907467668574,-1.2347624678917017,0.1619170472155238,-1.6893722106808045,1.02962120512023,1.2049909088730455,-0.46136989595055783,0.701053022285829,0.06419878527787642,1.1658664080510026,0.6540200515464125,-1.420602639555255,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8202657681406593,0.07894243773930575,0.41282007824795885,0.2235799697631899,-0.2684638653827845,0,0,0,1,0,0,0,0
Agaricus Lepiota,1.5365912711252383,-1.2787692683639704,0.7304629839376573,-1.2347624678917017,0.26772666029172487,-1.6893722106808045,1.132752314007797,1.2045501330416655,-0.33637285665862376,0.6758390626676517,-0.3323283758777394,1.1336081416463917,0.627089932733211,-1.4106394336994266,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8202657681406593,0.07894243773930575,0.41282007824795885,0.2235799697631899,-0.2684638653827845,0,0,0,1,0,0,0,0
Agaricus Lepiota,1.5365912711252383,-1.2787692683639704,0.9515680453864955,-1.2347624678917017,0.47342475110134463,-1.6893722106808045,1.334267981017069,1.2049243344207559,-0.33637285665862376,0.6823599387740175,0.3023922907601362,1.1328732428048303,0.6340455431748095,-1.4132287182772345,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8202657681406593,0.07894243773930575,0.41282007824795885,0.2235799697631899,-0.2684638653827845,0,0,0,1,0,0,0,0
Agaricus Lepiota,1.5365912711252383,-1.2787692683639704,1.0590534070834796,-1.2347624678917017,0.572403026589135,-1.6893722106808045,1.431734397421062,1.2056910849300522,-0.33637285665862376,0.692160110771843,0.06650258858766904,1.1405345686369033,0.6445110124286254,-1.4171005804869103,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8202657681406593,0.07894243773930575,0.41282007824795885,0.2235799697631899,-0.2684638653827845,0,0,0,1,0,0,0,0
Agaricus Lepiota,1.5365912711252383,-1.2787692683639704,1.1893676075757666,-1.2347624678917017,0.6915130655528435,-1.6893722106808045,1.5494708868944629,1.2049409172485175,-0.33637285665862376,0.6778413590634831,0.04510466155369079,1.1304056742290463,0.6292250435120644,-1.4114340191028254,-0.42929782134448735,-0.9298512857504913,0.420084025208403,-0.8202657681406593,0.07894243773930575,0.41282007824795885,0.2235799697631899,-0.2684638653827845,0,0,0,1,0,0,0,0
Ann thyroid,0.4357497634534258,0.7386513315587232,1.1688899117803027,-0.28302218841924515,0.9211966930341827,-0.7666770103885975,1.2345896240174206,-1.2261348324134083,1.3635868777116766,-0.8453818046554114,-0.6865785380022681,-0.10258178398398658,-0.8409832006443037,-0.7382396604692173,0.3632520026761046,0.14189075536757312,-0.420084025208403,-0.8202657681406593,-0.5193581430217474,-1.0683731215970502,-0.20569357218213494,-0.6525745429746925,0,0,0,0,1,0,0,0
Ann thyroid,0.6192233480653946,0.7386513315587232,1.1688899117803027,-0.28302218841924515,0.8736693838304275,-0.8608602673947251,1.2345896240174206,-1.2261348324134083,1.3745241186497215,-0.9051793917484913,-0.6865785380022681,-0.11449884797647378,-0.8932505461829494,-0.7250144330093842,0.3632520026761046,0.14189075536757312,-0.420084025208403,-0.8202657681406593,-0.5193581430217474,-1.0683731215970502,-0.20569357218213494,-0.6525745429746925,0,0,0,0,1,0,0,0
Ann thyroid,0.8026969326773633,0.7386513315587232,1.1688899117803027,-0.28302218841924515,0.8289781255320167,-0.9471505165101707,1.2345896240174206,-1.2261348324134083,1.3841746253597598,-1.0769344738046236,-0.6865785380022681,-0.10964652331908514,-1.0414466210296207,-0.5240009413817022,0.3632520026761046,0.14189075536757312,-0.420084025208403,-0.8202657681406593,-0.5193581430217474,-1.0683731215970502,-0.20569357218213494,-0.6525745429746925,0,0,0,0,1,0,0,0
Ann thyroid,0.8026969326773633,0.7386513315587232,1.1688899117803027,-0.28302218841924515,0.8289781255320167,-0.9471505165101707,1.2345896240174206,-1.2261348324134083,1.3841746253597598,-1.196705317287602,-0.6865785380022681,-0.10964652331908514,-1.143147724137801,-0.2876237547527439,0.3632520026761046,0.14189075536757312,-0.420084025208403,-0.8202657681406593,-0.5193581430217474,-1.0683731215970502,-0.20569357218213494,-0.6525745429746925,1,0,0,0,1,1,1,0
Ann thyroid,0.6192233480653946,0.7386513315587232,1.1688899117803027,-0.28302218841924515,0.8736693838304275,-0.8608602673947251,1.2345896240174206,-1.2261348324134083,1.3745241186497215,-1.0455893389133868,-0.6865785380022681,-0.10176835952061747,-1.0146106887241277,-0.511935387491556,0.3632520026761046,0.14189075536757312,-0.420084025208403,-0.8202657681406593,-0.5193581430217474,-1.0683731215970502,-0.20569357218213494,-0.6525745429746925,0,0,0,0,1,0,0,0
Ann thyroid,0.06880259422948828,0.7386513315587232,1.1688899117803027,-0.28302218841924515,1.026395877198072,-0.5500564178047491,1.2345896240174206,-1.2261348324134083,1.3366644384795685,-1.3164081683717632,-0.6865785380022681,-0.8978671532788189,-1.2434925662053025,0.2898399538394631,0.3632520026761046,0.14189075536757312,-0.420084025208403,-0.8202657681406593,-0.5193581430217474,-1.0683731215970502,-0.20569357218213494,-0.6525745429746925,0,0,0,0,0,0,1,0
Ann thyroid,-0.11467099038248048,0.7386513315587232,1.1688899117803027,-0.28302218841924515,1.0851275312248263,-0.4247917372283755,1.2345896240174206,-1.2261348324134083,1.5385827327203847,-0.700715781749118,-0.6865785380022681,-0.10966883237635117,-0.7130485489834046,-0.6868425083291645,0.3632520026761046,0.14189075536757312,-0.420084025208403,-0.8202657681406593,-0.5193581430217474,-1.0683731215970502,-0.20569357218213494,-0.6525745429746925,0,0,0,0,1,0,1,0
Ann thyroid,1.5365912711252383,0.7386513315587232,-1.015008410335419,-0.28302218841924515,-1.446497177072676,-1.230062092329982,-0.7946865219389985,-1.2248716300418683,1.1635916148445826,-1.0756100451392026,-0.6865785380022681,-0.11178858028373627,-1.0403145853742408,-0.7380932599507509,0.3632520026761046,0.14189075536757312,-0.420084025208403,-0.8202657681406593,-0.5193581430217474,-1.0683731215970502,-0.20569357218213494,-0.6525745429746925,0,0,0,0,1,0,0,0
Ann thyroid,1.5365912711252383,0.7386513315587232,-0.08907212414672411,-0.28302218841924515,-0.5188999689178821,-1.230062092329982,0.08226073347759912,-1.2255909557786653,1.1635916148445826,-1.066362509919968,-0.6865785380022681,-0.10875277976025371,-1.0324058146822532,-0.758929228307962,0.3632520026761046,0.14189075536757312,-0.420084025208403,-0.8202657681406593,-0.5193581430217474,-1.0683731215970502,-0.20569357218213494,-0.6525745429746925,1,0,0,0,1,1,1,0
Ann thyroid,1.5365912711252383,0.7386513315587232,0.28022700186961397,-0.28302218841924515,-0.15980247393951408,-1.230062092329982,0.4251988068802221,-1.226592873769204,1.1635916148445826,-1.0842111725994577,-0.6865785380022681,-0.09631310198434255,-1.04766334484906,-0.7336919877086252,0.3632520026761046,0.14189075536757312,-0.420084025208403,-0.8202657681406593,-0.5193581430217474,-1.0683731215970502,-0.20569357218213494,-0.6525745429746925,1,0,0,0,1,0,1,0
Ann thyroid,1.5365912711252383,0.7386513315587232,0.5727018400738896,-0.28302218841924515,0.1192381080137934,-1.230062092329982,0.6940325109111135,-1.2260359684917572,1.1635916148445826,-1.0805037528161496,-0.6865785380022681,-0.10967547475602041,-1.0444965921876055,-0.7390138412104629,0.3632520026761046,0.14189075536757312,-0.420084025208403,-0.8202657681406593,-0.5193581430217474,-1.0683731215970502,-0.20569357218213494,-0.6525745429746925,0,0,0,0,1,0,0,0
Ann thyroid,1.5365912711252383,0.7386513315587232,0.6520789001811514,-0.28302218841924515,0.19412841283522417,-1.230062092329982,0.7665754920172569,-1.2263022741788747,1.1635916148445826,-1.0900453342389862,-0.6865785380022681,-0.115253545795231,-1.0526440903108918,-0.725506835609722,0.3632520026761046,0.14189075536757312,-0.420084025208403,-0.8202657681406593,-0.5193581430217474,-1.0683731215970502,-0.20569357218213494,-0.6525745429746925,0,0,0,0,1,1,0,0
Ann thyroid,1.5365912711252383,0.7386513315587232,0.8361515916490687,-0.28302218841924515,0.3664022248873219,-1.230062092329982,0.9341192913518437,-1.2260546154214804,1.2885886541365168,-1.0688564646575116,-0.6865785380022681,-0.10903691985592276,-1.0345395091603595,-0.75905647851817,0.3632520026761046,0.14189075536757312,-0.420084025208403,-0.8202657681406593,-0.5193581430217474,-1.0683731215970502,-0.20569357218213494,-0.6525745429746925,0,0,0,0,1,0,0,0
