dataset_name,batch_size,learning_rate,number_of_epochs,number_of_hidden_layers,avg_number_of_neurons,min_number_of_neurons,max_number_of_neurons,total_number_of_neurons,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Page Blocks,-1.0237101893599314,-0.9298512857504913,0.420084025208403,-0.8237288594908642,-1.38452239329728,-1.0724950835633111,-1.4927048338078401,-1.5204735560731895,0,0,1,0,0,1,0,1
Page Blocks,-1.0237101893599314,-0.9298512857504913,0.420084025208403,-0.8237288594908642,-1.38452239329728,-1.0724950835633111,-1.4927048338078401,-1.5204735560731895,0,0,0,1,0,0,0,0
Page Blocks,-1.0237101893599314,-0.9298512857504913,0.420084025208403,-0.8237288594908642,-1.38452239329728,-1.0724950835633111,-1.4927048338078401,-1.5204735560731895,0,0,0,1,0,0,0,0
Page Blocks,-1.0237101893599314,-0.9298512857504913,0.420084025208403,-0.8237288594908642,-1.38452239329728,-1.0724950835633111,-1.4927048338078401,-1.5204735560731895,0,0,0,1,0,0,0,0
Page Blocks,-1.0237101893599314,-0.9298512857504913,0.420084025208403,-0.8237288594908642,-1.38452239329728,-1.0724950835633111,-1.4927048338078401,-1.5204735560731895,0,0,0,1,0,0,0,0
Parity5,1.9483516507172882,0.1621357742023979,0.9801960588196069,1.0776987853060889,2.0039932538226033,1.4154193576179155,1.292725238847938,1.6971854054364905,1,1,1,1,1,1,0,1
Parity5,1.9483516507172882,0.1621357742023979,0.9801960588196069,1.0776987853060889,2.0039932538226033,1.4154193576179155,1.292725238847938,1.6971854054364905,0,0,0,0,0,0,1,0
Parity5,1.9483516507172882,0.1621357742023979,0.9801960588196069,1.0776987853060889,2.0039932538226033,1.4154193576179155,1.292725238847938,1.6971854054364905,0,0,0,1,0,0,0,1
Parity5,1.9483516507172882,0.1621357742023979,0.9801960588196069,1.0776987853060889,2.0039932538226033,1.4154193576179155,1.292725238847938,1.6971854054364905,0,0,0,0,0,0,1,0
Parity5,1.9483516507172882,0.1621357742023979,0.9801960588196069,1.0776987853060889,2.0039932538226033,1.4154193576179155,1.292725238847938,1.6971854054364905,0,0,0,0,0,0,1,0
Parity5,1.9483516507172882,0.1621357742023979,0.9801960588196069,1.0776987853060889,2.0039932538226033,1.4154193576179155,1.292725238847938,1.6971854054364905,0,0,0,0,0,0,1,0
Parity5,1.9483516507172882,0.1621357742023979,0.9801960588196069,1.0776987853060889,2.0039932538226033,1.4154193576179155,1.292725238847938,1.6971854054364905,0,0,0,0,0,0,1,0
Parity5,1.9483516507172882,0.1621357742023979,0.9801960588196069,1.0776987853060889,2.0039932538226033,1.4154193576179155,1.292725238847938,1.6971854054364905,0,0,0,0,0,0,1,0
Parity5,1.9483516507172882,0.1621357742023979,0.9801960588196069,1.0776987853060889,2.0039932538226033,1.4154193576179155,1.292725238847938,1.6971854054364905,0,0,0,0,0,0,1,0
Parity5,1.9483516507172882,0.1621357742023979,0.9801960588196069,1.0776987853060889,2.0039932538226033,1.4154193576179155,1.292725238847938,1.6971854054364905,0,0,0,1,1,1,0,0
Parity5,1.9483516507172882,0.1621357742023979,0.9801960588196069,1.0776987853060889,2.0039932538226033,1.4154193576179155,1.292725238847938,1.6971854054364905,0,0,0,0,1,0,0,0
Parity5,1.9483516507172882,0.1621357742023979,0.9801960588196069,1.0776987853060889,2.0039932538226033,1.4154193576179155,1.292725238847938,1.6971854054364905,0,0,0,0,1,0,0,0
Parity5,1.9483516507172882,0.1621357742023979,0.9801960588196069,1.0776987853060889,2.0039932538226033,1.4154193576179155,1.292725238847938,1.6971854054364905,0,1,0,0,1,0,0,0
Parity5,1.9483516507172882,0.1621357742023979,0.9801960588196069,1.0776987853060889,2.0039932538226033,1.4154193576179155,1.292725238847938,1.6971854054364905,0,0,0,0,1,0,0,0
Parity5,1.9483516507172882,0.1621357742023979,0.9801960588196069,1.0776987853060889,2.0039932538226033,1.4154193576179155,1.292725238847938,1.6971854054364905,1,1,0,0,1,1,0,1
Pima Indians Diabetes,-0.42929782134448735,-0.9298512857504913,-1.540308092430811,1.3651063549465832,0.1214845609782237,-1.0724950835633111,1.292725238847938,0.9988979999640025,0,1,1,0,1,0,1,0
Pima Indians Diabetes,-0.42929782134448735,-0.9298512857504913,-1.540308092430811,1.3651063549465832,0.1214845609782237,-1.0724950835633111,1.292725238847938,0.9988979999640025,0,0,0,0,0,0,1,0
Pima Indians Diabetes,-0.42929782134448735,-0.9298512857504913,-1.540308092430811,1.3651063549465832,0.1214845609782237,-1.0724950835633111,1.292725238847938,0.9988979999640025,0,0,0,0,0,0,1,0
Pima Indians Diabetes,-0.42929782134448735,-0.9298512857504913,-1.540308092430811,1.3651063549465832,0.1214845609782237,-1.0724950835633111,1.292725238847938,0.9988979999640025,0,1,0,0,0,0,1,0
Pima Indians Diabetes,-0.42929782134448735,-0.9298512857504913,-1.540308092430811,1.3651063549465832,0.1214845609782237,-1.0724950835633111,1.292725238847938,0.9988979999640025,0,0,0,0,0,0,1,0
Pima Indians Diabetes,-0.42929782134448735,-0.9298512857504913,-1.540308092430811,1.3651063549465832,0.1214845609782237,-1.0724950835633111,1.292725238847938,0.9988979999640025,1,1,0,0,1,1,0,1
