dataset_name,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,batch_size,learning_rate,number_of_epochs,number_of_hidden_layers,avg_number_of_neurons,min_number_of_neurons,max_number_of_neurons,total_number_of_neurons,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Car evaluation,-1.8264734983286237,0.7240348183878641,0.00987871975758219,0.3842385749234937,1.1543348290587323,1.7666057510366764,-0.04381279383921688,-1.3416764015948792,-1.124880818966758,0.19243154579949373,1.871479934086312,-0.40128935191324866,0.13355336432785597,0.8527125805869645,-0.6648302265076967,-0.12712643086680817,1.3647319560747138,-0.9740651090211225,-0.7256759767839268,0.5062187992468892,-0.9525793444156802,-0.8356550390144172,0,0,0,0,1,0,0,0
Car evaluation,-1.639895573547029,0.7240348183878641,0.00987871975758219,0.3842385749234937,0.9127842963557145,1.5295454184880815,-0.04381279383921688,-1.3416764015948792,-1.124880818966758,-0.055503699936450664,1.040173105654378,-0.2998610183765305,-0.11069767641723434,0.7855619359140413,-0.6648302265076967,-0.12712643086680817,1.3647319560747138,-0.9740651090211225,-0.7256759767839268,0.5062187992468892,-0.9525793444156802,-0.8356550390144172,0,0,0,0,1,0,0,0
Car evaluation,-1.639895573547029,0.7240348183878641,0.00987871975758219,0.3842385749234937,0.9127842963557145,1.5295454184880815,-0.04381279383921688,-1.3416764015948792,-1.124880818966758,-0.11499502627251482,1.040173105654378,-0.3961012222497919,-0.16817624459680644,0.8278167876139124,-0.6648302265076967,-0.12712643086680817,1.3647319560747138,-0.9740651090211225,-0.7256759767839268,0.5062187992468892,-0.9525793444156802,-0.8356550390144172,0,0,0,0,1,0,0,0
Car evaluation,-1.4533176487654345,0.7240348183878641,0.00987871975758219,0.3842385749234937,0.726654059501872,1.297921045404191,-0.04381279383921688,-1.3416764015948792,-1.124880818966758,-0.35200506579693663,-0.6940004248008215,-0.16974091961683574,-0.3930391230419769,0.8238022434977674,-0.6648302265076967,-0.12712643086680817,1.3647319560747138,-0.9740651090211225,-0.7256759767839268,0.5062187992468892,-0.9525793444156802,-0.8356550390144172,0,0,0,0,1,0,0,0
Car evaluation,-1.2667397239838398,0.7240348183878641,-1.8285021398909929,-1.0642972096699015,-1.3998226395398594,0.10766305527318863,-1.2717299740312973,-0.6100197761872189,-1.124880818966758,-0.5113685254490431,-0.6940004248008215,-0.3431611409048037,-0.5406763770619595,0.449227099203744,-0.6648302265076967,-0.12712643086680817,1.3647319560747138,-0.9740651090211225,-0.7256759767839268,0.5062187992468892,-0.9525793444156802,-0.8356550390144172,0,0,1,0,0,0,0,0
Car evaluation,-1.2667397239838398,0.7240348183878641,-1.1619322693407443,0.3842385749234937,-0.6609642587490071,1.080185556352423,-1.0944339326375563,-1.3430092043109,-1.124880818966758,0.10821309725101455,-0.1146899119611037,-0.15488330287439317,0.0497185002210997,0.29642378441153544,-0.6648302265076967,-0.12712643086680817,1.3647319560747138,-0.9740651090211225,-0.7256759767839268,0.5062187992468892,-0.9525793444156802,-0.8356550390144172,0,0,0,1,1,1,0,1
Car evaluation,-1.2667397239838398,0.7240348183878641,-0.5594864598876392,0.3842385749234937,-0.014677900235974773,1.080185556352423,-0.5438105725051908,-1.3400062192768296,-1.124880818966758,-0.0173854989125979,-0.13144256597652265,-0.10383041678193157,-0.07364378383568375,0.3980034644216036,-0.6648302265076967,-0.12712643086680817,1.3647319560747138,-0.9740651090211225,-0.7256759767839268,0.5062187992468892,-0.9525793444156802,-0.8356550390144172,0,0,1,1,0,0,0,0
Car evaluation,-1.2667397239838398,0.7240348183878641,-0.43402253252838396,0.3842385749234937,0.1170813549221659,1.080185556352423,-0.4319627473422729,-1.34257380844156,-1.124880818966758,-0.11370604675078418,0.2626494355725143,-0.32073944605823174,-0.16693537885303666,0.4740427022883663,-0.6648302265076967,-0.12712643086680817,1.3647319560747138,-0.9740651090211225,-0.7256759767839268,0.5062187992468892,-0.9525793444156802,-0.8356550390144172,0,0,0,1,0,0,0,0
Car evaluation,-1.2667397239838398,0.7240348183878641,-0.2481004281966521,0.3842385749234937,0.31052298717613214,1.080185556352423,-0.2679688588844676,-1.342024517682953,-1.124880818966758,-0.0656299279731618,-0.691154356346273,-0.24072901055144874,-0.12051144804517917,0.4374527673150566,-0.6648302265076967,-0.12712643086680817,1.3647319560747138,-0.9740651090211225,-0.7256759767839268,0.5062187992468892,-0.9525793444156802,-0.8356550390144172,0,0,0,1,0,0,0,0
Car evaluation,-1.2667397239838398,0.7240348183878641,-0.09752658343822797,0.3842385749234937,0.46561254889586373,1.080185556352423,-0.1366627438535782,-1.3415270595498279,-1.124880818966758,-0.007769857359091554,-0.45087259238554644,-0.20050794617631595,-0.0642685551589115,0.3900606443101491,-0.6648302265076967,-0.12712643086680817,1.3647319560747138,-0.9740651090211225,-0.7256759767839268,0.5062187992468892,-0.9525793444156802,-0.8356550390144172,0,0,0,1,0,0,0,0
