dataset_name,file_name,batch_size,learning_rate,number_of_epochs,number_of_hidden_layers,avg_number_of_neurons,min_number_of_neurons,max_number_of_neurons,total_number_of_neurons,depth_to_width_ratio,batch_size_to_dataset_ratio,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,avg_learning_slope,std_learning_slope,avg_validation_gap,std_validation_gap,avg_first_overfit_epoch,std_first_overfit_epoch,avg_first_stay_epoch,std_first_stay_epoch,avg_percentage_weights_near_zero,std_percentage_weights_near_zero,avg_avg_weights,std_avg_weights,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Ann thyroid,Data\Input\Subsets\Ann thyroid\796844370_20260528_183147.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.0375697094217786,21.0,1.0,3407.0,3.0,162.23809523809524,0.1428571428571428,1135.6666666666667,0.0250634517766497,0.8571428571428571,0.028987026208066,0.0,0.2395953796452903,1.029411239021266,-0.486925538144986,-0.0003920511262757,0.0001910374007565,0.0085219820026424,0.0055569880300753,25.2,18.914544668059023,2.0,0.0,16.757341576506956,1.9374365375343692,0.2370709150340955,0.0504340427137603,1,1,1,1,2,2,2,2
Ann thyroid,Data\Input\Subsets\Ann thyroid\2811279679_20260528_183148.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.028712427097353,21.0,1.0,4458.0,3.0,212.28571428571428,0.1428571428571428,1486.0,0.0252182347235693,0.8571428571428571,0.02747538282257,0.0,0.2365978791214393,1.027856311874605,-0.4581238483828814,-0.0003894537261554,0.0001951742296427,0.0096160662649613,0.0059093959017413,20.5,12.387493693237548,2.0,0.0,15.69706336939722,2.753200708253092,0.2576074399047141,0.0640676639890414,1,1,1,1,2,2,2,2
Ann thyroid,Data\Input\Subsets\Ann thyroid\1750869421_20260528_183148.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.0243346007604562,21.0,1.0,5260.0,3.0,250.47619047619048,0.1428571428571428,1753.3333333333333,0.0250719276613234,0.9047619047619048,0.0262594685648127,0.0,0.2307649878052406,1.0266072862379956,-0.4333146701830039,-0.0004949171202523,1.5041194268124029e-05,0.019794953393735,0.0034350976946639,27.1,10.3,2.1,0.3,15.530139103554868,0.8364739870501158,0.2785013998789249,0.0112859516284743,1,1,1,1,2,2,2,1
Ann thyroid,Data\Input\Subsets\Ann thyroid\3332487923_20260528_183149.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.0229885057471264,21.0,1.0,5568.0,3.0,265.1428571428572,0.1428571428571428,1856.0,0.025237817899437,0.9047619047619048,0.0263355470089914,0.0,0.2326967950282044,1.026685391894156,-0.4347964134218035,-0.0004478060347693,0.000149031000223,0.0099663302447567,0.0038878975489868,23.9,11.545128842936316,2.0,0.0,15.06955177743431,1.8426838072732128,0.2921462728596729,0.0510205210674201,1,1,1,1,2,1,1,1
Ann thyroid,Data\Input\Subsets\Ann thyroid\3498068960_20260528_183150.csv,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.0204309656823623,21.0,1.0,6265.0,3.0,298.3333333333333,0.1428571428571428,2088.333333333333,0.0251897860593512,0.9047619047619048,0.0275760852178552,0.0,0.2359139649682416,1.027959824679126,-0.4604415010918321,-0.0004821962543896,1.7514331409943015e-05,0.010172784383105,0.0023106173922208,20.7,9.623408959407262,2.0,0.0,14.5564142194745,1.2668185851203917,0.3104644240860408,0.0297691014339418,1,1,1,1,2,2,2,2
Ann thyroid,,128.0,0.0046,140.0,2.0,80.0,16.0,144.0,160.0,0.025,0.0179548323748071,21.0,1.0,7129.0,3.0,339.4761904761905,0.1428571428571428,2376.333333333333,0.0251705837755875,0.9047619047619048,0.0270286346044552,0.0,0.2338156570924747,1.027397221455346,-0.4493107421531078,-0.0004810434154101,1.2184590207651068e-05,0.0087629557765971,0.0018810044110364,20.7,10.872442227944925,2.0,0.0,14.57805255023184,1.290267342760675,0.3207596054631739,0.010914003015239,1,1,1,1,2,2,2,2
Mofn_3_7_10,Data\Input\Subsets\Mofn_3_7_10\2586612182_20260528_183237.csv,128.0,0.0192,220.0,3.0,101.33333333333331,32.0,160.0,304.0,0.0296052631578947,0.125,5.0,1.0,1024.0,2.0,204.8,0.4,512.0,0.2929292929292929,0.0,0.031157939335538,0.0008353477463298,0.05034678589212,1.031648428887418,2.434689872057896,-4.944060336459766e-05,0.0001630184462925,0.0128604198944467,0.0043379243805184,8.9,5.223983154643591,2.4,0.66332495807108,17.363788068418856,2.3843771569253125,0.1820319461570854,0.0429461309370988,1,1,1,2,1,1,1,1
Mofn_3_7_10,Data\Input\Subsets\Mofn_3_7_10\1387657914_20260528_183238.csv,128.0,0.0192,220.0,3.0,101.33333333333331,32.0,160.0,304.0,0.0296052631578947,0.125,5.0,1.0,1024.0,2.0,204.8,0.4,512.0,0.2929292929292929,0.0,0.0193032647018869,0.0,0.0385069934300863,1.0194907773077857,4.54402896726094,-7.655768231912093e-05,9.067052287002706e-05,0.0009006371792917,0.0029431291532798,54.7,83.28030979769468,2.3,0.6403124237432849,16.810596579057155,2.0467509664014623,0.1346500798714847,0.0158761334235544,1,1,1,2,2,2,2,1
Mofn_3_7_10,Data\Input\Subsets\Mofn_3_7_10\705724958_20260528_183238.csv,128.0,0.0192,220.0,3.0,101.33333333333331,32.0,160.0,304.0,0.0296052631578947,0.125,7.0,1.0,1024.0,2.0,146.28571428571428,0.2857142857142857,512.0,0.2929292929292929,0.0,0.0336572893818514,0.0,0.0570600353914185,1.034230104347354,1.2711670792664411,4.82759692452171e-06,0.0003077098946053,0.0141153546671604,0.0160165622203499,29.9,63.588442346074174,3.3,1.2688577540449522,17.327849880135574,2.113555854421264,0.1906298291675066,0.0503185769531235,1,1,1,1,1,1,1,1
Mofn_3_7_10,Data\Input\Subsets\Mofn_3_7_10\1395167153_20260528_183238.csv,128.0,0.0192,220.0,3.0,101.33333333333331,32.0,160.0,304.0,0.0296052631578947,0.125,7.0,1.0,1024.0,2.0,146.28571428571428,0.2857142857142857,512.0,0.2929292929292929,0.0,0.0346605304642394,0.0,0.0570600353914185,1.0352682071232835,1.2054286705240251,-4.66657362200997e-05,0.0001147914232771,-0.0015270049187589,0.0071863454926414,28.3,64.07035195782835,2.2,0.3999999999999999,18.22352649417211,1.7475366066849205,0.1406721567444677,0.0220880410764398,1,1,1,2,1,1,1,1
Mofn_3_7_10,Data\Input\Subsets\Mofn_3_7_10\2593027556_20260528_183238.csv,128.0,0.0192,220.0,3.0,101.33333333333331,32.0,160.0,304.0,0.0296052631578947,0.125,5.0,1.0,1024.0,2.0,204.8,0.4,512.0,0.2929292929292929,0.0,0.0287606363087525,0.0,0.0531329374549995,1.0291782170924126,2.72098369177593,-5.3042620420455934e-05,0.0001098399850548,0.0084561708958853,0.0074478674281943,78.0,95.74549597761768,2.0,0.0,16.643304130162704,1.9562540979282013,0.1320429189948922,0.011582620694075,1,1,1,1,1,1,1,1
Mofn_3_7_10,Data\Input\Subsets\Mofn_3_7_10\1962903517_20260528_183238.csv,128.0,0.0192,220.0,3.0,101.33333333333331,32.0,160.0,304.0,0.0296052631578947,0.125,8.0,1.0,1024.0,2.0,128.0,0.25,512.0,0.2929292929292929,0.0,0.0248177443352122,0.0,0.0426490409352404,1.0251282680634977,1.6950943149909483,5.689256570555943e-05,0.0008441527806396,-1.0910067830294244e-05,0.0108659585994752,6.3,4.796873982084582,4.1,1.8138357147217052,16.90940508516416,1.4195135171097648,0.1919877431514277,0.0578324100053209,1,1,1,2,2,2,2,2
Mofn_3_7_10,Data\Input\Subsets\Mofn_3_7_10\2465702746_20260528_183238.csv,128.0,0.0192,220.0,3.0,101.33333333333331,32.0,160.0,304.0,0.0296052631578947,0.125,9.0,1.0,1024.0,2.0,113.77777777777776,0.2222222222222222,512.0,0.2929292929292929,0.0,0.0324514250015159,0.0,0.0641009228895106,1.0329837147428969,0.8321033953048923,-0.0002282084660096,0.0003709138752058,0.0611646495462513,0.0360210594616345,6.5,5.333854141237834,3.1,1.044030650891055,14.393480219510195,1.844277569859751,0.2738389967958216,0.059146513321316,1,1,1,1,1,1,2,2
Mofn_3_7_10,Data\Input\Subsets\Mofn_3_7_10\72963746_20260528_183238.csv,128.0,0.0192,220.0,3.0,101.33333333333331,32.0,160.0,304.0,0.0296052631578947,0.7804878048780488,10.0,1.0,164.0,2.0,16.4,0.2,82.0,0.2913385826771653,0.0,0.0360803838805656,0.0,0.1159262459756926,1.0367391802599768,0.4797982766477617,-0.0010548568178306,8.133516859967925e-05,0.0360904914134659,0.0173144310002191,57.0,81.57573168534869,8.7,2.5709920264364885,18.16102731349368,0.8853323627624756,0.1290671956840609,0.0030927953266329,1,1,1,1,1,2,1,1
Mofn_3_7_10,Data\Input\Subsets\Mofn_3_7_10\237787516_20260528_183238.csv,128.0,0.0192,220.0,3.0,101.33333333333331,32.0,160.0,304.0,0.0296052631578947,0.5245901639344263,10.0,1.0,244.0,2.0,24.4,0.2,122.0,0.291005291005291,0.0,0.0322677872678405,0.0,0.0809134306424923,1.0327940373710924,0.6538792227127923,-0.0009243454851887,8.260230678873474e-05,0.0120657244735342,0.0147333725949321,35.5,62.07294096464256,5.6,1.3564659966250536,17.42560130452507,1.1493441643340774,0.1409358344036027,0.0156145231323967,1,1,1,2,1,2,2,1
Mofn_3_7_10,Data\Input\Subsets\Mofn_3_7_10\2386017355_20260528_183238.csv,128.0,0.0192,220.0,3.0,101.33333333333331,32.0,160.0,304.0,0.0296052631578947,0.3413333333333333,10.0,1.0,375.0,2.0,37.5,0.2,187.5,0.293103448275862,0.0,0.0257185380812882,0.0,0.0703705242689958,1.0260521132308,1.0810559256362708,-0.0008967313305898,0.0001249320710977,0.0072305271803074,0.0151603912954644,12.9,3.3600595232822887,5.6,1.9595917942265424,17.92417448022829,1.471467227027391,0.1550947208681302,0.0266887817726635,1,1,1,1,1,2,1,1
Mofn_3_7_10,Data\Input\Subsets\Mofn_3_7_10\1767553333_20260528_183238.csv,128.0,0.0192,220.0,3.0,101.33333333333331,32.0,160.0,304.0,0.0296052631578947,0.2428842504743833,10.0,1.0,527.0,2.0,52.7,0.2,263.5,0.2916666666666667,0.0,0.0241386304778064,0.0,0.0582413670663042,1.0244323255898733,1.2128818251651334,-0.0009085934135046,0.0001371979175846,0.0047921078763367,0.0072534151401168,7.7,2.19317121994613,4.9,1.0440306508910548,17.346922136159804,1.8330744199787063,0.1519906092371337,0.0288308565513327,1,1,1,2,2,2,1,1
Mofn_3_7_10,Data\Input\Subsets\Mofn_3_7_10\2275896258_20260528_183238.csv,128.0,0.0192,220.0,3.0,101.33333333333331,32.0,160.0,304.0,0.0296052631578947,0.1957186544342507,10.0,1.0,654.0,2.0,65.4,0.2,327.0,0.2924901185770751,0.0,0.0309313467111118,0.0,0.0598533607966655,1.0314146914450215,0.7288817778644442,-0.0006743760677901,0.0003656657397276,0.001474479206348,0.0039834349007819,52.6,83.89541107831823,3.6,1.2806248474865698,15.543823889115368,1.6097998138134808,0.1568684804212352,0.0234149812959139,1,1,1,2,2,2,2,2
Mofn_3_7_10,Data\Input\Subsets\Mofn_3_7_10\4253678773_20260528_183238.csv,128.0,0.0192,220.0,3.0,101.33333333333331,32.0,160.0,304.0,0.0296052631578947,0.1673202614379084,10.0,1.0,765.0,2.0,76.5,0.2,382.5,0.2922297297297297,0.0,0.0349951629393565,0.0,0.0871380129419616,1.0356146994564035,0.527567374560094,-0.0006528050655668,0.0003372376328459,0.0001822137877448,0.0051546325074055,30.2,63.33371929706955,4.7,2.5317977802344327,16.95801059926621,1.67321530952812,0.1776034418148164,0.039512683108392,1,1,1,2,2,2,1,2
Mofn_3_7_10,Data\Input\Subsets\Mofn_3_7_10\3850415931_20260528_183238.csv,128.0,0.0192,220.0,3.0,101.33333333333331,32.0,160.0,304.0,0.0296052631578947,0.1559074299634592,10.0,1.0,821.0,2.0,82.1,0.2,410.5,0.2929133858267717,0.0,0.026042410997157,0.0,0.0536922849626555,1.026384477539539,1.0546392934966191,-0.000435354411602,0.0003129466966748,0.0045158240889329,0.0105107717747528,37.2,61.87859080489795,2.8,0.8717797887081347,16.05218100285365,2.378364957578785,0.2020575776871459,0.0614022367624264,1,1,1,2,2,2,1,2
