model type,technique,training loses,testing loses,model path,training accuracies,training f1,training true positives,training true negatives,training false positives,training false negatives,testing accuracies,testing f1,testing true positives,testing true negatives,testing false positives,testing false negatives
Neural Network,prune,"[0.7013888888888888, 0.3090277777777778, 0.7083333333333334, 0.6875, 0.2881944444444444]",0.6444444444444445,Models\NN\20260420_07\prune.pt,"[29.86111111111111, 69.09722222222221, 29.166666666666668, 31.25, 71.18055555555556]","[0.8097928436911488, 0.0, 0.8045977011494253, 0.819672131147541, 0.0]",108.0,0.0,252.0,0.0,35.55555555555556,0.8465608465608465,48.0,0.0,87.0,0.0
Neural Network,weight normalisation,"[0.3090277777777778, 0.2743055555555556, 0.2881944444444444, 0.28125, 0.3055555555555556]",0.25925925925925924,Models\NN\20260420_07\weight_normalisation.pt,"[69.09722222222221, 72.56944444444444, 71.18055555555556, 71.875, 69.44444444444444]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,255.0,0.0,105.0,74.07407407407408,0.0,0.0,100.0,0.0,35.0
Neural Network,weight decay,"[0.2881944444444444, 0.3020833333333333, 0.3645833333333333, 0.3402777777777778, 0.34375]",0.31851851851851853,Models\NN\20260420_07\weight_decay.pt,"[71.18055555555556, 69.79166666666666, 63.541666666666664, 65.97222222222221, 65.625]","[0.0, 0.29714285714285715, 0.5953582240161454, 0.0, 0.0]",0.0,243.0,0.0,117.0,68.14814814814815,0.0,0.0,92.0,0.0,43.0
Neural Network,weight perturbation,"[0.16319444444444445, 0.84375, 0.1701388888888889, 0.8368055555555556, 0.8194444444444444]",0.1925925925925926,Models\NN\20260420_07\weight_perturbation.pt,"[83.68055555555556, 15.625, 82.98611111111111, 16.319444444444446, 18.055555555555554]","[0.0, 0.6493506493506493, 0.0, 0.6610407876230661, 0.6878306878306878]",0.0,300.0,0.0,60.0,80.74074074074075,0.0,0.0,109.0,0.0,26.0
Random forest,baseline,"[0.14506172839506173, 0.12962962962962962, 0.12345679012345678, 0.1388888888888889, 0.13271604938271606, 0.12962962962962962, 0.13580246913580246, 0.1388888888888889, 0.12037037037037036, 0.12654320987654322]",0.17777777777777778,Models\RandomForest\20260420_Apr\baseline.pkl,"[85.49382716049382, 87.03703703703704, 87.65432098765432, 86.11111111111111, 86.72839506172839, 87.03703703703704, 86.41975308641975, 86.11111111111111, 87.96296296296296, 87.34567901234568]","[0.0, 0.17777777777777778, 0.18518518518518517, 0.06896551724137931, 0.19522776572668113, 0.0, 0.049019607843137254, 0.047961630695443645, 0.2158273381294964, 0.19955654101995565]",8.0,307.0,1.0,44.0,82.22222222222221,0.0,0.0,111.0,0.0,24.0
Random forest,batch normalisation,"[0.13271604938271606, 0.1388888888888889, 0.16666666666666666, 0.13271604938271606, 0.16666666666666666, 0.13580246913580246, 0.1697530864197531, 0.16049382716049382, 0.15432098765432098, 0.14506172839506173]",0.16296296296296298,Models\RandomForest\20260420_Apr\batch_normalisation.pkl,"[86.72839506172839, 86.11111111111111, 83.33333333333334, 86.72839506172839, 83.33333333333334, 86.41975308641975, 83.0246913580247, 83.9506172839506, 84.5679012345679, 85.49382716049382]","[0.6436233611442194, 0.5689001264222503, 0.44871794871794873, 0.6075334143377886, 0.4134366925064599, 0.5693069306930693, 0.5202312138728323, 0.49261083743842365, 0.5225653206650831, 0.5336721728081322]",48.0,256.0,10.0,46.0,83.7037037037037,0.0,0.0,113.0,10.0,12.0
Random forest,dropout,"[0.11419753086419752, 0.12345679012345678, 0.12345679012345678, 0.12037037037037036, 0.11728395061728394, 0.1111111111111111, 0.10802469135802469, 0.11419753086419752, 0.12037037037037036, 0.11419753086419752]",0.08148148148148149,Models\RandomForest\20260420_Apr\dropout.pkl,"[88.58024691358025, 87.65432098765432, 87.65432098765432, 87.96296296296296, 88.27160493827161, 88.88888888888889, 89.19753086419753, 88.58024691358025, 87.96296296296296, 88.58024691358025]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,318.0,0.0,42.0,91.85185185185185,0.0,0.0,124.0,0.0,11.0
Random forest,layer normalisation,"[0.0030864197530864196, 0.0030864197530864196, 0.0030864197530864196, 0.0030864197530864196, 0.0030864197530864196, 0.0, 0.0030864197530864196, 0.0030864197530864196, 0.0030864197530864196, 0.0030864197530864196]",0.34814814814814815,Models\RandomForest\20260420_Apr\layer_normalisation.pkl,"[99.69135802469135, 99.69135802469135, 99.69135802469135, 99.69135802469135, 99.69135802469135, 100.0, 99.69135802469135, 99.69135802469135, 99.69135802469135, 99.69135802469135]","[0.9885931558935361, 0.9888751545117429, 0.9891435464414958, 0.9891435464414958, 0.9881422924901185, 1.0, 0.9881422924901185, 0.9887359198998749, 0.9885931558935361, 0.9891435464414958]",88.0,271.0,0.0,1.0,60.74074074074074,0.11627906976744186,5.0,86.0,2.0,42.0
Random forest,prune,"[0.16666666666666666, 0.16358024691358025, 0.1697530864197531, 0.16049382716049382, 0.16358024691358025, 0.15123456790123457, 0.15123456790123457, 0.16049382716049382, 0.16666666666666666, 0.1728395061728395]",0.37037037037037035,Models\RandomForest\20260420_Apr\prune.pkl,"[83.33333333333334, 83.64197530864197, 83.0246913580247, 83.9506172839506, 83.64197530864197, 84.87654320987654, 84.87654320987654, 83.9506172839506, 83.33333333333334, 82.71604938271605]","[0.5616740088105727, 0.5851619644723093, 0.5754614549402823, 0.6224066390041494, 0.6559031281533805, 0.6514994829369183, 0.6680805938494168, 0.6102783725910065, 0.6047516198704104, 0.5789473684210527]",66.0,236.0,16.0,42.0,62.96296296296296,0.022935779816513763,1.0,84.0,3.0,47.0
Random forest,weight normalisation,"[0.009259259259259259, 0.012345679012345678, 0.009259259259259259, 0.012345679012345678, 0.006172839506172839, 0.012345679012345678, 0.012345679012345678, 0.012345679012345678, 0.012345679012345678, 0.012345679012345678]",0.26666666666666666,Models\RandomForest\20260420_Apr\weight_normalisation.pkl,"[98.4567901234568, 98.76543209876543, 99.07407407407408, 98.76543209876543, 99.38271604938271, 98.14814814814815, 98.76543209876543, 98.76543209876543, 98.76543209876543, 98.14814814814815]","[0.9717868338557993, 0.9611231101511879, 0.9717868338557993, 0.9634888438133874, 0.9812108559498957, 0.9593679458239278, 0.9602649006622517, 0.9615384615384616, 0.9627329192546584, 0.9615384615384616]",101.0,255.0,0.0,4.0,73.33333333333333,0.21212121212121213,7.0,92.0,8.0,28.0
