target,employment_type,job_title,salary,salary_in_usd,company_size
4,2,25,-0.025208282213959446,818,1
4,2,25,-0.14279983397090668,379,1
4,2,25,-0.12819372543688587,445,1
3,2,47,-0.148988863010746,387,1
3,2,47,-0.16755595013026398,318,1
3,2,25,-0.10195224230796711,554,1
3,2,25,-0.15517789205058533,338,1
3,2,33,-0.0734827087247062,668,1
3,2,33,-0.08709857261235272,613,1
4,2,74,0.011925892025076521,908,1
4,2,74,-0.04996439837331675,738,1
1,2,9,-0.2517267450720788,10,2
1,2,7,-0.2108791534091393,133,1
4,2,33,-0.06234245645299541,705,1
4,2,33,-0.0809095435725134,639,1
3,2,25,-0.0697692913008026,683,1
3,2,25,-0.08338515518844912,630,1
3,2,47,-0.17993400820994263,310,1
3,2,47,-0.20840354179320356,163,1
1,2,47,-0.025208282213959446,818,1
1,2,47,-0.11185468877171004,509,1
3,2,47,-0.17374497917010331,339,1
3,2,47,-0.148988863010746,458,1
3,2,47,-0.18612303724978196,281,1
4,2,33,-0.12299494104342082,468,1
2,2,33,0.06762715338363047,976,1
2,2,33,0.030492979144594506,933,1
1,2,47,-0.12175713523545295,514,0
3,2,47,-0.17374497917010331,284,1
3,2,33,-0.16755595013026398,292,1
3,2,33,-0.18562791492659483,211,1
4,2,64,-0.05739123322112395,748,0
3,2,47,-0.19107426048165344,210,1
3,2,25,-0.1570346007625371,333,1
3,2,25,-0.19540658080954096,174,1
4,2,47,-0.01154785731722608,855,1
4,2,47,-0.09449570012076869,585,1
4,2,25,-0.056153427413156085,721,1
4,2,25,-0.08709857261235272,613,1
1,2,33,-0.18364742563384623,223,1
1,2,33,-0.1885986488657177,202,1
4,2,47,-0.047488786757381024,745,1
4,2,47,-0.11804371781154936,481,1
1,2,33,-0.10566565973187071,538,1
1,2,33,-0.148988863010746,355,1
4,2,33,-0.057638794382717524,718,1
4,2,33,-0.10442785392390284,543,1
3,2,33,-0.148988863010746,355,1
4,2,33,-0.08771747551633666,610,1
4,2,33,-0.12497543033616941,459,1
3,2,33,-0.0809095435725134,639,1
3,2,33,-0.11185468877171004,509,1
4,2,33,-0.005898511609660742,870,0
4,2,33,-0.1295553118256505,439,0
4,2,47,0.03637008112082593,940,1
4,2,47,-0.06255040782873401,704,1
4,2,47,-0.02978816370344055,804,1
4,2,47,-0.13351629041114768,412,1
4,2,47,-0.10442785392390284,543,1
4,2,31,-0.07590880810832322,658,1
4,2,31,-0.11940530420031402,477,1
4,2,33,-0.07026441362398975,681,1
4,2,33,-0.12819372543688587,445,1
4,2,33,-0.04674610327260031,751,1
4,2,33,-0.1268321390481212,451,1
4,2,25,-0.037363535248203884,780,1
4,2,25,-0.12915921396710078,441,1
4,2,31,0.20512262253270097,1025,1
4,2,31,0.0034097880662576066,891,1
4,2,25,-0.004784486382489663,873,1
