work_year,target,employment_type,salary_currency,salary_in_usd,company_location
0.933090760892103,1,2,19,10,29
0.933090760892103,1,2,7,133,20
0.933090760892103,4,2,19,705,12
0.933090760892103,4,2,19,639,12
0.933090760892103,3,2,19,683,70
0.933090760892103,3,2,19,630,70
0.933090760892103,3,2,8,310,28
0.933090760892103,3,2,8,163,28
0.933090760892103,1,2,19,818,70
0.933090760892103,1,2,19,509,70
0.933090760892103,3,2,8,339,28
0.933090760892103,3,2,8,458,28
0.933090760892103,3,2,8,281,28
0.933090760892103,4,2,19,468,70
0.933090760892103,2,2,19,976,70
0.933090760892103,2,2,19,933,70
0.933090760892103,1,2,3,514,14
-0.4019626865857902,3,2,7,284,20
0.933090760892103,3,2,19,292,70
0.933090760892103,3,2,19,211,70
-0.4019626865857902,4,2,7,748,36
0.933090760892103,3,2,7,210,20
0.933090760892103,3,2,19,333,70
0.933090760892103,3,2,19,174,70
