target,employment_type,job_title,salary,salary_currency,salary_in_usd,remote_ratio,company_size
4,2,33,0.01811492106491585,19,919,1.0282812738738005,1
4,2,33,-0.04377536933347743,19,757,1.0282812738738005,1
4,2,33,-0.03139731125379877,19,797,-1.04837274073339,1
4,2,33,-0.08709857261235272,19,613,-1.04837274073339,1
4,2,47,-0.20469012436929995,7,154,-1.04837274073339,1
4,2,47,-0.21583037664101073,7,116,-1.04837274073339,1
4,2,47,-0.13042177589122803,19,432,-1.04837274073339,1
4,2,47,-0.17374497917010331,19,270,-1.04837274073339,1
1,2,69,-0.058386429090730114,19,716,-1.04837274073339,1
1,2,69,-0.07981408543246184,19,642,-1.04837274073339,1
4,2,33,0.008212474601172925,19,903,1.0282812738738005,1
4,2,33,-0.03139731125379877,19,797,1.0282812738738005,1
4,2,25,-0.009364367871970767,19,859,-1.04837274073339,0
4,2,25,-0.13128823995680552,19,425,-1.04837274073339,0
4,2,25,-0.0809095435725134,19,639,-1.04837274073339,1
4,2,25,-0.17993400820994263,19,240,-1.04837274073339,1
4,2,33,-0.056153427413156085,19,721,-1.04837274073339,1
4,2,33,-0.09662967733370528,19,576,-1.04837274073339,1
4,2,33,-0.03861371911425143,19,772,-1.04837274073339,1
4,2,33,-0.14366629803648417,19,374,-1.04837274073339,1
4,2,4,-0.0716260000127544,19,674,-1.04837274073339,1
4,2,4,-0.11624889938999595,19,495,-1.04837274073339,1
4,2,33,0.045717990582599254,19,952,-1.04837274073339,1
4,2,33,-0.0947729686217535,19,582,-1.04837274073339,1
4,2,88,-0.009116806710377193,19,861,-1.04837274073339,1
4,2,88,-0.09576321326812778,19,578,-1.04837274073339,1
1,2,89,0.011925892025076521,19,908,-0.010045733429794819,0
1,2,69,-0.19354987209758917,3,195,1.0282812738738005,2
4,2,47,-0.11185468877171004,19,509,-1.04837274073339,1
4,2,4,0.09832473742123354,19,997,-1.04837274073339,1
4,2,4,0.0044990571772693284,19,894,-1.04837274073339,1
4,2,4,-0.037809145339072314,19,777,-1.04837274073339,1
4,2,4,-0.08232064219359676,19,633,-1.04837274073339,1
4,2,69,0.09015521908864563,19,990,1.0282812738738005,1
4,2,69,-0.026693649183520882,19,813,1.0282812738738005,1
4,2,4,0.0047466183388629015,19,895,-1.04837274073339,1
4,2,33,-0.030283286026627693,19,802,-1.04837274073339,1
4,2,33,-0.10034309475760889,19,561,-1.04837274073339,1
4,2,33,0.05153567788004822,19,962,-1.04837274073339,1
4,2,33,-0.10071443649999924,19,560,-1.04837274073339,1
3,2,29,-0.06853148549283473,19,687,-1.04837274073339,1
3,2,29,-0.08709857261235272,19,613,-1.04837274073339,1
4,2,33,-0.06011440599865325,19,713,1.0282812738738005,1
4,2,33,-0.08511808331960413,19,624,1.0282812738738005,1
4,2,69,0.16330954233954648,19,1018,-1.04837274073339,0
4,2,69,-0.04241378294471278,19,762,-1.04837274073339,0
3,2,33,-0.13661080493106734,19,402,1.0282812738738005,1
3,2,33,-0.17374497917010331,19,270,1.0282812738738005,1
1,2,33,-0.15517789205058533,19,338,-1.04837274073339,1
1,2,33,-0.17993400820994263,19,240,-1.04837274073339,1
4,2,47,-0.08860374447484165,19,606,1.0282812738738005,1
4,2,47,-0.15731929609836973,19,332,1.0282812738738005,1
1,2,25,-0.16755595013026398,19,292,-1.04837274073339,1
1,2,25,-0.17374497917010331,19,270,-1.04837274073339,1
4,2,25,-0.0072600979984253945,19,866,-1.04837274073339,1
4,2,25,-0.08846015900111738,19,607,-1.04837274073339,1
4,2,69,0.1336022029483177,19,1012,1.0282812738738005,1
4,2,69,0.0022710067229271703,19,887,1.0282812738738005,1
4,2,33,-0.14279983397090668,19,379,1.0282812738738005,1
4,2,33,-0.16755595013026398,19,292,1.0282812738738005,1
4,2,47,-0.019019253174120117,19,835,-1.04837274073339,1
4,2,47,-0.06234245645299541,19,705,-1.04837274073339,1
4,2,4,0.024303950104755178,19,927,-1.04837274073339,1
4,2,4,-0.08313759402685555,19,632,-1.04837274073339,1
3,2,17,-0.13042177589122803,19,432,-0.010045733429794819,0
3,2,5,1.8438784878175174,12,56,1.0282812738738005,0
3,2,25,-0.213354765025075,8,146,-1.04837274073339,1
3,2,25,-0.2170681824489786,8,132,-1.04837274073339,1
4,2,33,-0.0809095435725134,19,639,-1.04837274073339,1
4,2,25,-0.051944887666065344,19,735,-1.04837274073339,1
4,2,25,-0.13017421472963445,19,434,-1.04837274073339,1
4,2,69,-0.025208282213959446,19,818,-1.04837274073339,1
4,2,69,-0.07472051453267407,19,663,-1.04837274073339,1
4,2,4,-0.07472051453267407,19,663,1.0282812738738005,1
4,2,4,-0.11185468877171004,19,509,1.0282812738738005,1
4,2,33,-0.11185468877171004,19,509,-1.04837274073339,1
4,2,25,-0.20469012436929995,8,185,1.0282812738738005,1
4,2,25,-0.2170681824489786,8,132,1.0282812738738005,1
4,2,33,0.0379198139924017,19,943,-1.04837274073339,1
4,2,33,-0.06853148549283473,19,687,-1.04837274073339,1
4,2,33,0.011925892025076521,19,908,1.0282812738738005,1
4,2,33,-0.025208282213959446,19,818,1.0282812738738005,1
3,2,47,-0.1923120662896213,8,253,-1.04837274073339,1
3,2,47,-0.20469012436929995,8,185,-1.04837274073339,1
2,2,91,-0.24182429860833593,19,34,-1.04837274073339,1
3,2,55,-0.17374497917010331,8,339,1.0282812738738005,1
3,2,55,-0.2015956098493803,8,199,1.0282812738738005,1
1,2,25,-0.15517789205058533,19,338,1.0282812738738005,1
1,2,25,-0.16755595013026398,19,292,1.0282812738738005,1
