work_year,target,salary,salary_currency,salary_in_usd,employee_residence,company_location,company_size
0.933090760892103,4,-0.11185468877171004,19,509,75,70,1
0.933090760892103,4,-0.11185468877171004,19,509,75,70,1
0.933090760892103,4,-0.20469012436929995,8,185,12,13,1
0.933090760892103,4,-0.2170681824489786,8,132,12,13,1
0.933090760892103,4,0.0379198139924017,19,943,75,70,1
0.933090760892103,4,-0.06853148549283473,19,687,75,70,1
0.933090760892103,4,0.011925892025076521,19,908,75,70,1
0.933090760892103,4,-0.025208282213959446,19,818,75,70,1
0.933090760892103,3,-0.1923120662896213,8,253,29,28,1
0.933090760892103,3,-0.20469012436929995,8,185,29,28,1
-3.0720695815415766,2,-0.24182429860833593,19,34,56,12,1
0.933090760892103,3,-0.17374497917010331,8,339,29,28,1
0.933090760892103,3,-0.2015956098493803,8,199,29,28,1
0.933090760892103,1,-0.15517789205058533,19,338,75,70,1
0.933090760892103,1,-0.16755595013026398,19,292,75,70,1
0.933090760892103,4,-0.06234245645299541,19,705,75,70,1
0.933090760892103,3,0.11095035666250577,19,1004,75,70,1
0.933090760892103,3,0.04906006626411249,19,960,75,70,1
0.933090760892103,4,0.021828338488819446,19,924,75,70,1
0.933090760892103,4,-0.030159505445830907,19,803,75,70,1
0.933090760892103,4,-0.025208282213959446,19,818,75,70,1
0.933090760892103,3,0.024303950104755178,19,927,75,70,1
