number_of_attributes,percentage_of_numeric_features,number_of_instances,number_of_class,proportion_of_attributes_per_instances,number_of_classes_per_attributes,number_of_instances_per_class,proportion_of_min_to_max_instance_per_class,proportion_of_attributes_with_outliers,minimum_continuous_mutual_information,maximum_continuous_mutual_information,minimum_discrete_mutual_information,maximum_discrete_mutual_information,equivalent_number_of_continuous_attributes,equivalent_number_of_discrete_attributes,noise_signal_ratio_of_continuous_attributes,noise_signal_ratio_of_discrete_attributes,dropout_testing_loss,batch_normalisation_testing_loss,weight_normalisation_testing_loss,normal_testing_loss,prune_testing_loss,layer_normalisation_testing_loss,weight_decay_testing_loss,weight_perturbation_testing_loss,SMOTE_testing_loss
10.0,0.3,616.0,4.0,0.0162337662337662,0.4,154.0,0.0619946091644204,0.2,2.382255591948379e-05,0.0459082741126906,0.0185338069189956,0.7082543804538598,1.017871182439117,1.221694228304386,26.48535431471556,0.0420245238697182,1,3,2,2,2,4,5,4,6
10.0,0.3,1160.0,4.0,0.0086206896551724,0.4,290.0,0.0616045845272206,0.2,0.0,0.0522622487123625,0.0210235761713896,0.6487368775756808,1.0175733758283867,1.198724439509942,26.95593441992057,0.1515076388469752,3,1,2,3,2,4,5,5,6
10.0,0.3,1411.0,4.0,0.0070871722182849,0.4,352.75,0.061248527679623,0.2,0.0227283210691,0.0407127537692098,0.0151222703777706,0.6131264305643778,1.032076751045873,1.1851767258804324,14.417133745397088,0.2279212655843716,1,1,4,3,2,4,5,6,6
10.0,0.3,1858.0,4.0,0.0053821313240043,0.4,464.5,0.0617726051924798,0.2,0.0191587839757012,0.0296459510596021,0.0128698342168829,0.60587696304145,1.0258206875560214,1.1768513824102405,18.11671845478748,0.2825933217120726,3,2,1,2,1,5,6,4,7
10.0,0.3,2219.0,4.0,0.0045065344749887,0.4,554.75,0.0614232209737827,0.2,0.0,0.0339148428730782,0.0150555959199366,0.578270501085545,1.0138683581903063,1.170896673730473,34.36261936893579,0.323044586808167,2,2,3,3,1,4,5,5,6
18.0,0.8888888888888888,1787.0,6.0,0.0100727476217123,0.3333333333333333,297.8333333333333,0.9733333333333334,0.6666666666666666,0.0901945541635296,1.2083633894339432,0.0118234783656496,0.0193770422925962,2.2915183165438107,1.0157225796335234,-0.8051698559354619,81.8478500301942,1,2,4,4,2,3,6,7,5
18.0,0.8888888888888888,1794.0,6.0,0.0100334448160535,0.3333333333333333,299.0,0.99,0.8333333333333334,0.131700720891275,1.1737912014843248,0.0168802307361167,0.0202675986782118,2.125011375309444,1.0187474828086054,-0.7856667820557248,68.58553902604828,2,3,4,3,2,1,6,7,5
18.0,0.8888888888888888,1194.0,4.0,0.0150753768844221,0.2222222222222222,298.5,0.99,0.7222222222222222,0.1820911254228834,0.78625894769025,0.0153477265896307,0.0174508967729136,1.5793644038579244,1.0165345184814043,-0.7264918680454144,59.9778605094138,1,2,1,1,2,2,4,5,3
18.0,0.8888888888888888,590.0,2.0,0.0305084745762711,0.1111111111111111,295.0,0.9798657718120806,0.4444444444444444,0.0430403936714718,0.6972362833355108,0.0062132255852834,0.0097198395943109,1.5798485961929642,1.007998349845496,-0.863347098003982,61.75788034021259,2,3,1,1,3,5,4,5,6
18.0,0.8888888888888888,1489.0,5.0,0.0120886501007387,0.2777777777777778,297.8,0.9733333333333334,0.6111111111111112,0.0632201705704593,1.203798018169648,0.0129073330586389,0.0138712274912383,2.1894915292611925,1.0134793180864736,-0.8148255669662292,85.70549720602118,1,2,2,1,1,2,3,4,3
