model type,technique,training loses,testing loses,training accuracies,training f1,testing accuracies,testing f1,testing true positives,testing true negatives,testing false positives,testing false negatives
Neural Network,weight perturbation,0.33333333333333337,0.22962962962962963,66.66666666666666,0.07741935483870968,77.03703703703704,0.0,0.0,104.0,0.0,31.0
Random forest,baseline,0.13096588415008867,0.1925925925925926,86.90341158499112,0.6377791699673593,80.74074074074075,0.07142857142857142,1.0,108.0,0.0,26.0
Random forest,batch normalisation,0.010073218267694414,0.4148148148148148,98.42967007883693,0.9776447780060755,54.074074074074076,0.21212121212121213,7.0,76.0,20.0,32.0
Random forest,dropout,0.07971134093024072,0.13333333333333333,92.02886590697594,0.7515031008783074,86.66666666666667,0.0,0.0,117.0,0.0,18.0
Random forest,layer normalisation,0.13925605323687953,0.3037037037037037,86.07439467631204,0.7614388965315919,69.62962962962963,0.08888888888888889,2.0,92.0,2.0,39.0
Random forest,prune,0.04473425456077818,0.37037037037037035,95.52657454392218,0.942392167429779,62.96296296296296,0.10714285714285714,3.0,82.0,22.0,28.0
Random forest,weight normalisation,0.22251242252383543,0.37037037037037035,77.74875774761645,0.6105917193674266,62.96296296296296,0.0,0.0,85.0,0.0,50.0
Random forest,weight decay,0.073180517268625,0.3037037037037037,92.6819482731375,0.8926833870960248,69.62962962962963,0.046511627906976744,1.0,93.0,3.0,38.0
Random forest,weight perturbation,0.09718803223710779,0.2222222222222222,90.25152318578478,0.7562146822942448,77.77777777777779,0.0625,1.0,104.0,0.0,30.0
svm,baseline,0.19971028742998612,0.31851851851851853,80.0289712570014,0.30348275815078196,68.14814814814815,0.0851063829787234,2.0,90.0,18.0,25.0
svm,batch normalisation,0.1274094428739487,0.362962962962963,87.25905571260515,0.6585950418411906,63.70370370370371,0.40963855421686746,17.0,69.0,27.0,22.0
svm,dropout,0.057780977297069526,0.37777777777777777,94.22190227029304,0.8382323409640424,62.22222222222222,0.03773584905660377,1.0,83.0,34.0,17.0
svm,layer normalisation,0.08385335276456025,0.6,91.61466472354398,0.8631778821473878,40.0,0.3076923076923077,18.0,36.0,58.0,23.0
svm,prune,0.12206731866626867,0.34814814814814815,87.79326813337313,0.8351219374645075,65.18518518518519,0.2033898305084746,6.0,82.0,22.0,25.0
svm,weight normalisation,0.11052710129404948,0.4074074074074074,88.94728987059504,0.8245640945721157,59.25925925925925,0.38202247191011235,17.0,63.0,22.0,33.0
svm,weight decay,0.1828209225150563,0.43703703703703706,81.71790774849437,0.701394663078504,56.2962962962963,0.16901408450704225,6.0,70.0,26.0,33.0
svm,weight perturbation,0.09481326707987289,0.25925925925925924,90.5186732920127,0.7669523286281116,74.07407407407408,0.14634146341463414,3.0,97.0,7.0,28.0
