dataset_name,file_name,batch_size,learning_rate,number_of_epochs,number_of_hidden_layers,avg_number_of_neurons,min_number_of_neurons,max_number_of_neurons,total_number_of_neurons,depth_to_width_ratio,batch_size_to_dataset_ratio,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,avg_learning_slope,std_learning_slope,avg_validation_gap,std_validation_gap,avg_first_overfit_epoch,std_first_overfit_epoch,avg_first_stay_epoch,std_first_stay_epoch,avg_percentage_weights_near_zero,std_percentage_weights_near_zero,avg_avg_weights,std_avg_weights,batch_normalisation,dropout,layer_normalisation,weight_decay,prune,weight_normalisation,baseline,weight_perturbation
Salaries 2023,Data\Input\Subsets\Salaries 2023\1546592828_20260528_183328.csv,16.0,0.0005,240.0,6.0,122.66666666666669,16.0,256.0,736.0,0.0489130434782608,0.0061919504643962,7.0,0.2857142857142857,2584.0,4.0,369.1428571428572,0.5714285714285714,646.0,0.0617760617760617,0.1428571428571428,0.1491681351303796,0.0132431633107522,0.5675229547078426,1.1608681555201512,-0.0295529572301694,0.0002194010217984,0.0008562025544361,0.026778570755952,0.0156950759156504,18.8,9.293008124391154,3.0,0.7745966692414834,42.65646430376091,2.4894763793568173,0.0757018800270107,0.0065012700119095,1,1,3,2,4,3,2,3
Salaries 2023,Data\Input\Subsets\Salaries 2023\1136650319_20260528_183328.csv,16.0,0.0005,240.0,6.0,122.66666666666669,16.0,256.0,736.0,0.0489130434782608,0.0061919504643962,5.0,0.2,2584.0,4.0,516.8,0.8,646.0,0.0617760617760617,0.2,0.185651774100829,0.0132431633107522,0.5675229547078426,1.204002922369443,0.091633445677745,-0.000133141875267,3.8564164185704886e-05,0.0089532196692495,0.0060045740152677,7.1,3.986226285598949,3.4,1.42828568570857,43.114263970428354,0.7568674349496274,0.0764248730093532,0.0014171838847593,3,2,4,1,5,5,2,6
Salaries 2023,Data\Input\Subsets\Salaries 2023\927815369_20260528_183328.csv,16.0,0.0005,240.0,6.0,122.66666666666669,16.0,256.0,736.0,0.0489130434782608,0.0061919504643962,7.0,0.2857142857142857,2584.0,4.0,369.1428571428572,0.5714285714285714,646.0,0.0617760617760617,0.2857142857142857,0.156657711229422,0.0132431633107522,0.5675229547078426,1.1695952060721109,-0.0759486112958101,-0.0002280384302139,2.822356457196122e-05,0.0226737874426217,0.0049729240359256,17.1,16.646020545463713,3.5,2.01246117974981,41.28943189200895,0.5364557226778847,0.0794662433163935,0.0014006298956324,3,4,4,3,2,1,2,3
Salaries 2023,Data\Input\Subsets\Salaries 2023\731966382_20260528_183328.csv,16.0,0.0005,240.0,6.0,122.66666666666669,16.0,256.0,736.0,0.0489130434782608,0.0061919504643962,7.0,0.2857142857142857,2584.0,4.0,369.1428571428572,0.5714285714285714,646.0,0.0617760617760617,0.1428571428571428,0.1282067409549402,0.0132431633107522,0.5675229547078426,1.1367879990410257,0.1291120461727116,-0.0002135862906773,3.016055542834788e-05,0.0227005041636325,0.0091884882899035,11.9,7.905061669588669,2.7,1.004987562112089,42.4021872518588,0.39901463589258,0.0770791761739016,0.0010568505427601,1,3,4,3,5,4,2,4
Salaries 2023,Data\Input\Subsets\Salaries 2023\3336989261_20260528_183328.csv,16.0,0.0005,240.0,6.0,122.66666666666669,16.0,256.0,736.0,0.0489130434782608,0.0061919504643962,5.0,0.2,2584.0,4.0,516.8,0.8,646.0,0.0617760617760617,0.2,0.0596983244942399,0.0132431633107522,0.1333562063165652,1.061516264781157,2.394796882070425,-0.0002657321592171,5.508610837647901e-05,0.0271091363335073,0.0086837830521935,15.1,7.8797208072367635,2.8,1.1661903789690602,38.33278973689932,0.58856121407446,0.085283232536179,0.0015582645482423,2,3,4,1,1,2,3,1
Salaries 2023,Data\Input\Subsets\Salaries 2023\1833683171_20260528_183328.csv,16.0,0.0005,240.0,6.0,122.66666666666669,16.0,256.0,736.0,0.0489130434782608,0.0061919504643962,9.0,0.3333333333333333,2584.0,4.0,287.1111111111111,0.4444444444444444,646.0,0.0617760617760617,0.2222222222222222,0.1442212747198051,0.0189630774282565,0.5675229547078426,1.1551396834575278,-0.219318115122398,-0.00028996437788,6.41564036960938e-05,0.0209733738836387,0.0080335457859774,15.4,7.825599018605541,2.9,1.1357816691600546,40.44970882162629,0.6171385262673938,0.0812443479273147,0.0016221983839782,2,3,4,1,4,1,1,2
Salaries 2023,Data\Input\Subsets\Salaries 2023\451104934_20260528_183328.csv,16.0,0.0005,240.0,6.0,122.66666666666669,16.0,256.0,736.0,0.0489130434782608,0.1428571428571428,10.0,0.3,112.0,3.0,11.2,0.3,37.333333333333336,0.1714285714285714,0.2,0.1738205632162029,0.0,0.7094945294071561,1.1898420452343883,-0.490328234194289,-0.0013839451471964,0.0002871820956801,0.3077447295038084,0.0944921207222696,3.6,0.66332495807108,3.7,0.6403124237432849,47.657186032705496,0.4131731279854001,0.0594855632462244,0.0006872414135527,3,1,1,2,1,3,4,3
Salaries 2023,Data\Input\Subsets\Salaries 2023\1270702031_20260528_183328.csv,16.0,0.0005,240.0,6.0,122.66666666666669,16.0,256.0,736.0,0.0489130434782608,0.030188679245283,10.0,0.3,530.0,4.0,53.0,0.4,132.5,0.0626959247648902,0.2,0.1508647725846592,0.0191254814874756,0.6882430618035495,1.162839399682761,-0.3282878467783329,-0.000526104097565,6.622821498298125e-05,0.0850926610819368,0.0226918314151828,10.1,5.3935146240647205,3.8,1.2489995996796797,45.01991102819832,0.4326477631610016,0.0661210466373267,0.0007861523434586,1,2,4,4,3,3,3,3
Salaries 2023,Data\Input\Subsets\Salaries 2023\1582871274_20260528_183328.csv,16.0,0.0005,240.0,6.0,122.66666666666669,16.0,256.0,736.0,0.0489130434782608,0.0170394036208732,10.0,0.3,939.0,4.0,93.9,0.4,234.75,0.0619469026548672,0.2,0.1449022639546294,0.0055524321481519,0.6443501692928887,1.1559265890533903,-0.3007845177279589,-0.0002971736093362,6.536622623633964e-05,0.0852809179785738,0.0217229565696389,7.3,5.080354318352215,4.4,2.4979991993593598,43.88785247901269,0.3404436322308183,0.06959734646208,0.000656508980605,1,3,4,2,2,3,4,3
Salaries 2023,Data\Input\Subsets\Salaries 2023\2914243815_20260528_183328.csv,16.0,0.0005,240.0,6.0,122.66666666666669,16.0,256.0,736.0,0.0489130434782608,0.0092699884125144,10.0,0.3,1726.0,4.0,172.6,0.4,431.5,0.0616570327552986,0.2,0.1353113740782023,0.0121797760217607,0.6038760808471323,1.1448932189268746,-0.251356387148403,-7.492194573084513e-05,0.0005654330564593,0.0604817264404583,0.0239099039382207,11.7,10.936635680134913,2.9,0.8306623862918074,42.37963693764799,1.902536792807749,0.0747278907238397,0.004879227371786,1,3,5,3,2,4,3,2
