dataset_name,file_name,batch_size,learning_rate,number_of_epochs,number_of_hidden_layers,avg_number_of_neurons,min_number_of_neurons,max_number_of_neurons,total_number_of_neurons,depth_to_width_ratio,batch_size_to_dataset_ratio,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,avg_learning_slope,std_learning_slope,avg_validation_gap,std_validation_gap,avg_first_overfit_epoch,std_first_overfit_epoch,avg_first_stay_epoch,std_first_stay_epoch,avg_percentage_weights_near_zero,std_percentage_weights_near_zero,avg_avg_weights,std_avg_weights,layer_normalisation,batch_normalisation,dropout,prune,weight_decay,weight_normalisation,weight_perturbation,baseline
Ann thyroid,Data\Input\Subsets\Ann thyroid\3358462597_20260528_183145.csv,0.17572526128530244,0.3338030814310957,-0.3054809462202006,-0.9881848961043789,-0.696002186645849,-1.1527743006177262,-0.3700051255524009,-0.909295413248001,-0.26873266268262186,-0.7986891742833687,-0.16857726317069804,0.7422668038777244,1.1581115999211056,-0.42812739301265923,1.1505587880238435,-0.4430867091821855,1.215093136050801,-1.2519382511755492,1.1366674772301684,-0.8441151099320026,-0.7435812636487938,-0.11174355684270966,-0.8391474249906435,-0.41684945269327783,0.9788748789744928,-1.6536886463440394,-1.0985409080649124,-1.2461915281354814,0.15909539637703538,-0.4993405460499258,-1.4854324888809842,-1.743563238926427,-1.1845933501885095,0.3318652296302142,1.6287999357528207,1.1917634198711127,1,1,1,1,1,1,1,1
Ann thyroid,Data\Input\Subsets\Ann thyroid\3692951717_20260528_183146.csv,0.17572526128530244,0.3338030814310957,-0.3054809462202006,-0.9881848961043789,-0.696002186645849,-1.1527743006177262,-0.3700051255524009,-0.909295413248001,-0.26873266268262186,-0.7986891742833687,0.1999255967394427,0.7422668038777244,1.1581115999211056,-0.42812739301265923,1.0267981453014692,-0.6590559411779995,1.215093136050801,-1.2519382511755492,0.9846001467291657,-1.297816331892915,-0.7435812636487938,-0.9856277776622929,-1.2207918696028504,0.43150643908817926,1.3738887602791727,-1.0857365780216812,-1.2104941265216838,-1.243649420650265,-0.20384429626638728,0.37219945644834146,-1.4854324888809842,-1.743563238926427,-0.5970446326806714,1.2924713403151031,0.5738879835662142,1.9034043463846237,0,1,1,0,1,1,1,1
Ann thyroid,Data\Input\Subsets\Ann thyroid\4123607450_20260528_183146.csv,0.17572526128530244,0.3338030814310957,-0.3054809462202006,-0.9881848961043789,-0.696002186645849,-1.1527743006177262,-0.3700051255524009,-0.909295413248001,-0.26873266268262186,-0.7986891742833687,0.01567416678437234,0.7422668038777244,1.1581115999211056,-0.42812739301265923,1.0862890474746427,-0.5565801637810645,1.215093136050801,-1.2519382511755492,0.9565261780212885,-1.2986570855122428,-0.7435812636487938,-0.9803638086464532,-1.221479705566013,0.5016224758418544,1.4038172102695647,-1.6516871991297517,-1.2272122304587627,-1.4078749141213611,0.11173330276742992,1.1655035435252092,-1.4854324888809842,-1.743563238926427,-0.5209336020013355,0.39320179539026473,0.34103271403498003,1.2785398318084484,1,1,1,1,1,1,1,1
Ann thyroid,Data\Input\Subsets\Ann thyroid\1642850339_20260528_183147.csv,0.17572526128530244,0.3338030814310957,-0.3054809462202006,-0.9881848961043789,-0.696002186645849,-1.1527743006177262,-0.3700051255524009,-0.909295413248001,-0.26873266268262186,0.589228450969879,1.4896856064249353,0.7422668038777244,-0.5318889399313065,-0.42812739301265923,-0.9850492579650195,-1.1667366199393898,-0.2575934521905122,-1.2515666954561389,0.9846001467291657,-1.0045075756781052,-0.7435812636487938,-0.1589805034506954,-0.9765203554619036,-0.7302168182753016,-0.33674067784145634,0.9944012583623437,-0.5490809755285103,0.45864782167357565,1.1612554803062347,1.8430625461083772,-0.3239554030898393,-1.743563238926427,-0.568613594611055,0.958115015543764,0.6918383891901262,1.7573715180005292,0,1,1,1,1,1,1,0
Ann thyroid,Data\Input\Subsets\Ann thyroid\1984699523_20260528_183147.csv,0.17572526128530244,0.3338030814310957,-0.3054809462202006,-0.9881848961043789,-0.696002186645849,-1.1527743006177262,-0.3700051255524009,-0.909295413248001,-0.26873266268262186,-0.006839301075542661,1.4896856064249353,0.7422668038777244,-0.056737284878647556,-0.42812739301265923,-0.4919061525509883,-1.1667366199393898,0.18294974565966277,-1.2522434113191512,0.9846001467291657,-1.037165315506419,-0.7435812636487938,-0.16043713272316598,-1.0041540082917433,-0.6689946164962861,0.4045506989575566,1.155263393069623,-0.8843552413735424,-0.34483121491772756,1.0140735482052543,1.5909210666332538,-1.4854324888809842,-1.743563238926427,-0.6090266081542569,0.7162000558912315,0.7487169879696114,1.8057497117842944,0,1,1,1,1,1,1,1
Ann thyroid,Data\Input\Subsets\Ann thyroid\687496161_20260528_183147.csv,0.17572526128530244,0.3338030814310957,-0.3054809462202006,-0.9881848961043789,-0.696002186645849,-1.1527743006177262,-0.3700051255524009,-0.909295413248001,-0.26873266268262186,-0.37372244499437623,1.4896856064249353,0.7422668038777244,0.34143208998999824,-0.42812739301265923,-0.08982644762932945,-1.1667366199393898,0.53543370344174,-1.2515930156491522,0.9846001467291657,-1.028759364137536,-0.7435812636487938,-0.1322040907458963,-0.9970519396769523,-0.6844591568744285,0.857221903115836,-1.0876561276266512,-0.8339248994897592,-0.8053592695243728,0.2207827748845669,0.3979495601459887,-1.4854324888809842,-1.743563238926427,-0.806778314917687,-0.09241960095951618,1.1228446656251176,0.5655012223063486,1,1,1,1,1,1,1,1
Ann thyroid,Data\Input\Subsets\Ann thyroid\796844370_20260528_183147.csv,0.17572526128530244,0.3338030814310957,-0.3054809462202006,-0.9881848961043789,-0.696002186645849,-1.1527743006177262,-0.3700051255524009,-0.909295413248001,-0.26873266268262186,-0.5149317277294938,1.4896856064249353,0.7422668038777244,0.5442225228320624,-0.42812739301265923,0.1108620365907265,-1.1667366199393898,0.7094514332209202,-1.2522111310195205,0.9846001467291657,-0.9986587464331922,-0.7435812636487938,-0.09286470519787193,-0.9715594519465056,-0.7419211614754303,0.9872986490223561,0.4610775539654394,-1.0172037506136156,-0.8077565544660892,0.22620575311361235,0.7323025517458714,-1.4854324888809842,-1.743563238926427,-0.7404505746874616,0.9705052752857528,1.0966663751610128,1.9127898487581976,0,1,1,1,1,1,1,1
Ann thyroid,Data\Input\Subsets\Ann thyroid\2811279679_20260528_183148.csv,0.17572526128530244,0.3338030814310957,-0.3054809462202006,-0.9881848961043789,-0.696002186645849,-1.1527743006177262,-0.3700051255524009,-0.909295413248001,-0.26873266268262186,-0.6386863890033199,1.4896856064249353,0.7422668038777244,0.7644738037898653,-0.42812739301265923,0.32568762059379663,-1.1667366199393898,0.8944354740829688,-1.2518168776981635,0.9846001467291657,-1.028056008327732,-0.7435812636487938,-0.1072433595395738,-0.9964573486487639,-0.6878325794681438,0.9899175821716292,0.4927997264521513,-0.9894085861451575,-0.767868721556521,-0.0662827268764904,0.2448547304153389,-1.4854324888809842,-1.743563238926427,-0.8330924490315182,1.383294495018927,1.227777531325252,1.9524480665906894,0,1,1,1,1,1,1,1
Ann thyroid,Data\Input\Subsets\Ann thyroid\1750869421_20260528_183148.csv,0.17572526128530244,0.3338030814310957,-0.3054809462202006,-0.9881848961043789,-0.696002186645849,-1.1527743006177262,-0.3700051255524009,-0.909295413248001,-0.26873266268262186,-0.7024744954251458,1.4896856064249353,0.7422668038777244,0.9018571753023771,-0.42812739301265923,0.45803948424690827,-1.1667366199393898,1.007768521112456,-1.2521895417827826,1.106254011129968,-1.051938885729197,-0.7435812636487938,-0.13556913856932828,-1.016618084778737,-0.6424127637147051,0.8852455400668956,-1.5385667008479862,-0.7440697018324351,-1.0602774738274483,0.3239155880243929,0.02864027117038604,-1.402037858644802,-1.0993821554529528,-0.8480310946206616,-0.2551798123044676,1.3451119894864139,0.6501179416264292,1,0,0,1,1,1,1,1
Ann thyroid,Data\Input\Subsets\Ann thyroid\3332487923_20260528_183149.csv,0.17572526128530244,0.3338030814310957,-0.3054809462202006,-0.9881848961043789,-0.696002186645849,-1.1527743006177262,-0.3700051255524009,-0.909295413248001,-0.26873266268262186,-0.7224491790948655,1.4896856064249353,0.7422668038777244,0.9494461123940697,-0.42812739301265923,0.5035925607042893,-1.1667366199393898,1.046667215424566,-1.2517669966726228,1.106254011129968,-1.050438324697514,-0.7435812636487938,-0.12613680823003542,-1.0153531395965607,-0.6450951985954185,0.9315834614363179,0.10638005847629387,-0.9805705899634849,-1.004562857314427,0.1532946925320275,0.1625521874393943,-1.4854324888809842,-1.743563238926427,-0.8897781748159025,0.9055035890501618,1.4140449843344571,1.9154936921646626,1,0,0,1,1,1,1,1
