model type,technique,training loses,testing loses,model path,training accuracies,training f1,training true positives,training true negatives,training false positives,training false negatives,testing accuracies,testing f1,testing true positives,testing true negatives,testing false positives,testing false negatives
Neural Network,prune,"[0.10666666666666667, 0.12, 0.10333333333333333, 0.12333333333333334, 0.11]",0.45925925925925926,Models\NN\20260415_07\prune.pt,"[89.33333333333333, 88.0, 89.66666666666666, 87.66666666666667, 89.0]","[0.7961321514907334, 0.7837620578778136, 0.811216429699842, 0.7734311328443358, 0.7531194295900178]",92.0,239.0,12.0,32.0,54.074074074074076,0.04868913857677903,2.0,71.0,10.0,52.0
Neural Network,weight normalisation,"[0.37, 0.3433333333333333, 0.33666666666666667, 0.3466666666666667, 0.35]",0.31851851851851853,Models\NN\20260415_07\weight_normalisation.pt,"[63.0, 65.66666666666666, 66.33333333333333, 65.33333333333333, 65.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,244.0,0.0,131.0,68.14814814814815,0.0,0.0,92.0,0.0,43.0
Neural Network,weight decay,"[0.29333333333333333, 0.2833333333333333, 0.37666666666666665, 0.29333333333333333, 0.2633333333333333]",0.2740740740740741,Models\NN\20260415_07\weight_decay.pt,"[70.66666666666667, 71.66666666666667, 62.33333333333333, 70.66666666666667, 73.66666666666667]","[0.21443298969072166, 0.41029900332225916, 0.6981903093987156, 0.3460514640638864, 0.47716150081566067]",34.0,231.0,11.0,99.0,72.5925925925926,0.03757225433526012,1.0,97.0,0.0,37.0
Neural Network,weight perturbation,"[0.22, 0.23333333333333334, 0.22333333333333333, 0.23333333333333334, 0.21]",0.24444444444444444,Models\NN\20260415_07\weight_perturbation.pt,"[78.0, 76.66666666666667, 77.66666666666666, 76.66666666666667, 79.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0,291.0,0.0,84.0,75.55555555555556,0.0,0.0,102.0,0.0,33.0
Random forest,baseline,"[0.2195845697329377, 0.2195845697329377, 0.21068249258160238, 0.2195845697329377, 0.2195845697329377, 0.21893491124260356, 0.22189349112426035, 0.21597633136094674, 0.21893491124260356, 0.22189349112426035]",0.22962962962962963,Models\RandomForest\20260415_Apr\baseline.pkl,"[78.04154302670622, 78.04154302670622, 78.93175074183976, 78.04154302670622, 78.04154302670622, 78.10650887573965, 77.81065088757396, 78.40236686390533, 78.10650887573965, 77.81065088757396]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,293.0,0.0,82.0,77.03703703703704,0.0,0.0,104.0,0.0,31.0
Random forest,batch normalisation,"[0.17210682492581603, 0.1513353115727003, 0.17507418397626112, 0.17210682492581603, 0.17507418397626112, 0.16568047337278108, 0.15976331360946747, 0.16568047337278108, 0.16863905325443787, 0.17455621301775148]",0.3851851851851852,Models\RandomForest\20260415_Apr\batch_normalisation.pkl,"[82.7893175074184, 84.86646884272997, 82.49258160237389, 82.7893175074184, 82.49258160237389, 83.4319526627219, 84.02366863905326, 83.4319526627219, 83.13609467455622, 82.54437869822485]","[0.397796817625459, 0.435006435006435, 0.36340533672172803, 0.42136854741896757, 0.36808236808236805, 0.477728285077951, 0.4803337306317044, 0.4369747899159664, 0.4323040380047506, 0.4168646080760095]",28.0,282.0,8.0,57.0,61.48148148148148,0.031630170316301706,1.0,82.0,14.0,38.0
Random forest,dropout,"[0.14836795252225518, 0.1572700296735905, 0.1632047477744807, 0.1632047477744807, 0.1632047477744807, 0.16272189349112426, 0.15976331360946747, 0.15384615384615385, 0.16568047337278108, 0.16272189349112426]",0.22962962962962963,Models\RandomForest\20260415_Apr\dropout.pkl,"[85.16320474777447, 84.27299703264094, 83.67952522255193, 83.67952522255193, 83.67952522255193, 83.72781065088756, 84.02366863905326, 84.61538461538461, 83.4319526627219, 83.72781065088756]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,315.0,0.0,60.0,77.03703703703704,0.0,0.0,104.0,0.0,31.0
Random forest,layer normalisation,"[0.11275964391691394, 0.09495548961424333, 0.11869436201780416, 0.13353115727002968, 0.12166172106824925, 0.1301775147928994, 0.10355029585798817, 0.1242603550295858, 0.10946745562130178, 0.11538461538461539]",0.5555555555555556,Models\RandomForest\20260415_Apr\layer_normalisation.pkl,"[88.72403560830861, 90.50445103857567, 88.13056379821958, 86.64688427299704, 87.83382789317507, 86.98224852071006, 89.64497041420118, 87.57396449704143, 89.05325443786982, 88.46153846153845]","[0.6485587583148559, 0.73125, 0.6549835706462213, 0.6072186836518046, 0.656989247311828, 0.6418067226890756, 0.6849942726231386, 0.6211604095563139, 0.6431095406360423, 0.6542669584245077]",51.0,281.0,8.0,35.0,44.44444444444444,0.057863501483679525,3.0,57.0,8.0,67.0
Random forest,prune,"[0.1661721068249258, 0.18397626112759644, 0.16913946587537093, 0.1543026706231454, 0.17210682492581603, 0.16272189349112426, 0.17751479289940827, 0.16863905325443787, 0.16568047337278108, 0.17455621301775148]",0.3851851851851852,Models\RandomForest\20260415_Apr\prune.pkl,"[83.38278931750742, 81.60237388724035, 83.08605341246292, 84.56973293768546, 82.7893175074184, 83.72781065088756, 82.24852071005917, 83.13609467455622, 83.4319526627219, 82.54437869822485]","[0.7044797687861272, 0.6495079485238456, 0.6812227074235808, 0.7180232558139535, 0.6712727272727274, 0.703730797366496, 0.6777697320782042, 0.6977401129943503, 0.6666666666666667, 0.6545313710302092]",78.0,234.0,17.0,46.0,61.48148148148148,0.07768924302788845,3.0,80.0,1.0,51.0
Random forest,weight normalisation,"[0.1632047477744807, 0.1513353115727003, 0.14540059347181009, 0.1513353115727003, 0.13353115727002968, 0.12130177514792899, 0.1242603550295858, 0.15088757396449703, 0.13609467455621302, 0.1390532544378698]",0.37037037037037035,Models\RandomForest\20260415_Apr\weight_normalisation.pkl,"[83.67952522255193, 84.86646884272997, 85.45994065281899, 84.86646884272997, 86.64688427299704, 87.86982248520711, 87.57396449704143, 84.91124260355029, 86.3905325443787, 86.09467455621301]","[0.7544642857142857, 0.7543859649122807, 0.772972972972973, 0.7353351955307262, 0.7976501305483028, 0.7854166666666667, 0.774468085106383, 0.75, 0.7599724896836313, 0.7732980832782551]",101.0,225.0,19.0,30.0,62.96296296296296,0.2171189979123173,8.0,77.0,15.0,35.0
